# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: tcn449.local.snellius.surf.nl
# Release : 4.18.0-372.80.1.el8_6.x86_64
# Version : #1 SMP Fri Nov 3 14:30:16 EDT 2023
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 38.998343 
# Number of iterations (recorded+unrecorded): 1022762237 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
0.00	6122.74
999900.51	4519.81
1999881.03	4008.83
2999921.53	3607.85
3999832.05	3737.84
4999721.56	3307.86
5999692.07	3377.86
6999662.58	2143.91
7999653.09	2364.90
8999623.61	2936.88
9999484.12	2675.89
10999544.63	2174.91
11999464.14	2876.88
12999454.65	2455.90
13999355.17	2815.88
14999275.68	1583.93
15999225.19	1533.93
16999336.70	2705.89
17999216.21	5140.78
18999096.73	2735.88
19999087.24	2565.89
20999037.75	2735.88
21999048.26	2835.88
22998997.77	2195.91
23998938.29	1583.93
24998868.80	2395.90
25998879.31	2535.89
26998839.82	1583.93
27998810.33	1563.93
28998779.84	1513.94
29998660.36	1513.94
30998720.86	2303.90
31998641.38	1533.93
32998551.89	1593.93
33998490.40	2897.88
34998481.91	1463.94
35998452.43	1834.92
36998352.94	1542.93
37998263.45	1543.93
38998352.96	1474.94
39998334.47	1491.94
40998233.99	1472.94
41998214.50	1553.93
42998175.01	17493.26
43998145.52	7534.68
44998035.03	2175.91
45998095.54	1512.94
46998025.05	1524.94
47997896.57	1563.93
48997837.08	1503.94
49997887.59	1422.94
50997858.10	1553.93
51997777.61	1543.93
52997687.13	2937.88
53997727.64	3077.87
54997599.15	2274.90
55997578.66	1523.94
56997479.18	1553.93
57997559.68	1483.94
58997420.20	1503.94
59997480.71	3106.87
60997381.22	1833.92
61997291.74	2274.90
62997310.24	2055.91
63997231.76	1463.94
64997222.27	1503.94
65997131.78	1504.94
66997193.29	1523.94
67997082.80	3016.87
68997003.32	2445.90
69997053.83	2275.90
70996894.34	1662.93
71996914.85	3026.87
72996875.36	1482.94
73996864.87	1483.94
74996755.39	1473.94
75996745.90	1513.94
76996626.41	1663.93
77096668.16	1824.92
77996626.92	7935.66
78996597.43	1783.92
79996546.95	3176.87
80996637.45	1573.93
81996557.97	1522.94
82996448.48	1483.94
83996478.99	2104.91
84996298.51	1502.94
85996339.02	1513.94
86996219.53	1493.94
87996260.04	1483.94
88996260.55	1493.94
89996141.06	4228.82
90996191.57	2885.88
91996031.09	3156.87
92996111.60	3096.87
93995962.11	3105.87
94996022.62	3106.87
95995903.13	3096.87
96995893.64	4117.83
97995843.16	1483.94
98995693.67	1482.94
99995754.18	1713.93
100995683.69	1504.94
101995735.20	1473.94
102995594.72	3337.86
103995534.23	3107.87
104995595.74	1453.94
105995456.25	1523.94
106995376.77	1783.92
107995356.28	3317.86
108995296.79	2254.90
109995297.30	1844.92
110995367.81	2365.90
111995298.32	1593.93
112995138.84	2504.89
113995229.34	3356.86
114995208.85	2405.90
