#size	rtt
1	1.808000
1	1.408000
1	1.347000
1	1.357500
1	1.307000
1	1.307000
1	1.307000
1	1.312500
1	1.297500
1	1.302500
1	1.302000
1	1.307000
1	1.302500
1	1.492000
1	1.427000
1	3.276000
1	1.312000
1	1.317500
1	1.342000
1	1.302000
1	1.307000
1	1.312000
1	1.307000
1	1.317500
1	1.302500
1	1.783000
1	1.342500
1	1.297000
1	1.312500
1	1.357500
1	1.372500
1	1.332000
1	1.307000
1	1.307000
1	1.307000
1	1.311500
1	1.302500
1	1.297000
1	1.297000
1	1.302500
1	1.312000
1	1.307000
1	1.307000
1	1.307500
1	1.287000
1	1.357500
1	1.352500
1	1.322500
1	1.307000
1	1.342500
1	1.342000
1	1.342500
1	1.342500
1	1.327500
1	1.302500
1	1.307000
1	1.297000
1	1.302500
1	1.307500
1	1.297000
1	1.297500
1	1.357500
1	1.342000
1	1.317500
1	1.292000
1	1.372000
1	1.352500
1	1.357500
1	1.357500
1	1.307000
1	1.292000
1	1.311500
1	1.302500
1	1.307000
1	1.307000
1	1.302500
1	1.292000
1	1.332000
1	1.342500
1	1.302000
1	1.297500
1	1.307000
1	1.302500
1	1.302500
1	1.296500
1	1.307000
1	1.292000
1	1.296500
1	1.292000
1	1.302000
1	1.297500
1	1.297000
1	1.292000
1	1.327500
1	1.347000
1	1.327000
1	1.307000
1	1.312500
1	1.327500
1	1.307000
1	1.297500
1	1.302000
1	1.297000
1	1.302500
1	1.307000
1	1.302000
1	1.307000
1	1.312500
1	1.287500
1	1.367500
1	1.337000
1	1.307000
1	1.292000
1	1.287000
1	1.337000
1	1.292000
1	1.307000
1	1.302500
1	1.297000
1	1.297500
1	1.297500
1	1.297000
1	1.347000
1	1.297500
1	1.322000
1	1.362500
1	1.362000
1	1.332000
1	1.327500
1	1.392000
1	1.362000
1	1.342500
1	1.332500
1	1.287000
1	1.307500
1	1.302500
1	1.302000
1	1.297000
1	1.307000
1	1.302500
1	1.307000
1	1.347000
1	5.605500
1	1.312500
1	1.322000
1	1.347000
1	1.322000
1	1.296500
1	1.312500
1	1.302500
1	1.302500
1	1.297000
1	1.302500
1	1.302500
1	1.307500
1	1.377500
1	1.307500
1	1.347000
1	1.372000
1	1.307000
1	1.347000
1	1.332000
1	1.337000
1	1.337500
1	1.312500
1	1.296500
1	1.302500
1	1.312000
1	1.307000
1	1.302000
1	1.307000
1	1.291500
1	1.307000
1	1.337000
1	1.347500
1	1.337500
1	1.352000
1	1.342500
1	1.342500
1	1.312500
1	1.307000
1	1.317500
1	1.311500
1	1.297500
1	1.427500
1	1.312500
1	1.302500
1	1.312500
1	1.317500
1	1.352500
1	1.367500
1	1.322000
