# Hoverboard test (1048576 1 1000000000)
# time(ns),sleep_time(ns),repetitions
83493596,1000000000,1
314719,1000000000,1
185988,1000000000,1
222485,1000000000,1
187450,1000000000,1
186830,1000000000,1
223548,1000000000,1
192178,1000000000,1
186789,1000000000,1
222285,1000000000,1
185296,1000000000,1
186448,1000000000,1
186459,1000000000,1
220672,1000000000,1
184445,1000000000,1
185255,1000000000,1
186098,1000000000,1
187330,1000000000,1
186609,1000000000,1
221504,1000000000,1
187961,1000000000,1
185557,1000000000,1
185166,1000000000,1
185808,1000000000,1
186297,1000000000,1
187361,1000000000,1
185136,1000000000,1
237976,1000000000,1
188231,1000000000,1
187731,1000000000,1
# Hoverboard test (1048576 1 800000000)
# time(ns),sleep_time(ns),repetitions
33988591,800000000,1
194824,800000000,1
225391,800000000,1
184434,800000000,1
186258,800000000,1
184565,800000000,1
226934,800000000,1
189884,800000000,1
186188,800000000,1
184917,800000000,1
220633,800000000,1
184575,800000000,1
186419,800000000,1
184666,800000000,1
184205,800000000,1
184604,800000000,1
185606,800000000,1
185456,800000000,1
222135,800000000,1
184665,800000000,1
188634,800000000,1
184255,800000000,1
184516,800000000,1
186459,800000000,1
186087,800000000,1
184795,800000000,1
221474,800000000,1
184384,800000000,1
189073,800000000,1
185276,800000000,1
# Hoverboard test (1048576 1 600000000)
# time(ns),sleep_time(ns),repetitions
86041554,600000000,1
306464,600000000,1
185206,600000000,1
184855,600000000,1
185356,600000000,1
229209,600000000,1
185516,600000000,1
190015,600000000,1
185938,600000000,1
185858,600000000,1
219610,600000000,1
185948,600000000,1
186959,600000000,1
185105,600000000,1
185187,600000000,1
184394,600000000,1
186348,600000000,1
219399,600000000,1
184053,600000000,1
184695,600000000,1
184956,600000000,1
185788,600000000,1
184515,600000000,1
184565,600000000,1
185377,600000000,1
185567,600000000,1
219490,600000000,1
184915,600000000,1
186027,600000000,1
185076,600000000,1
# Hoverboard test (1048576 1 400000000)
# time(ns),sleep_time(ns),repetitions
27867583,400000000,1
194945,400000000,1
221443,400000000,1
186098,400000000,1
184836,400000000,1
185346,400000000,1
185467,400000000,1
189934,400000000,1
219019,400000000,1
184895,400000000,1
184125,400000000,1
184726,400000000,1
185407,400000000,1
184205,400000000,1
185087,400000000,1
185246,400000000,1
219219,400000000,1
186008,400000000,1
183754,400000000,1
185426,400000000,1
185897,400000000,1
184815,400000000,1
184535,400000000,1
185176,400000000,1
185918,400000000,1
184726,400000000,1
222707,400000000,1
184474,400000000,1
185105,400000000,1
185247,400000000,1
# Hoverboard test (1048576 1 200000000)
# time(ns),sleep_time(ns),repetitions
87819311,200000000,1
195716,200000000,1
186178,200000000,1
225803,200000000,1
186820,200000000,1
185257,200000000,1
184816,200000000,1
190877,200000000,1
185176,200000000,1
184925,200000000,1
184925,200000000,1
185296,200000000,1
185858,200000000,1
226163,200000000,1
184975,200000000,1
185217,200000000,1
185265,200000000,1
184584,200000000,1
184063,200000000,1
184765,200000000,1
185928,200000000,1
186249,200000000,1
183824,200000000,1
184716,200000000,1
185677,200000000,1
185026,200000000,1
224019,200000000,1
184906,200000000,1
185387,200000000,1
185768,200000000,1
# Hoverboard test (1048576 1 0)
# time(ns),sleep_time(ns),repetitions
80358927,0,1
192289,0,1
183344,0,1
183474,0,1
190977,0,1
184085,0,1
183353,0,1
186749,0,1
183092,0,1
184976,0,1
184255,0,1
183874,0,1
183844,0,1
183503,0,1
183242,0,1
183374,0,1
183834,0,1
183693,0,1
183402,0,1
183102,0,1
183542,0,1
183242,0,1
183853,0,1
183202,0,1
183041,0,1
183754,0,1
183362,0,1
183554,0,1
183472,0,1
183423,0,1
# Hoverboard test (1048576 1 200000001)
# time(ns),sleep_time(ns),repetitions
25745030,200000001,1
193863,200000001,1
184805,200000001,1
185105,200000001,1
228437,200000001,1
185867,200000001,1
185077,200000001,1
190125,200000001,1
185737,200000001,1
184805,200000001,1
185136,200000001,1
185105,200000001,1
185928,200000001,1
185306,200000001,1
219871,200000001,1
184775,200000001,1
186097,200000001,1
184856,200000001,1
184486,200000001,1
184565,200000001,1
185306,200000001,1
185917,200000001,1
184555,200000001,1
184825,200000001,1
186659,200000001,1
185487,200000001,1
183884,200000001,1
225701,200000001,1
185145,200000001,1
185076,200000001,1
