# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 4.790000 6.799000 48.892000 2.395000 0.110222 0.250000 -nan -nan -nan
1025 10 12.049000 42.990000 150.724000 2.395000 3.359333 3.426889 0.220083 0.003139 inf
2049 10 12.419000 44.241000 154.424000 2.395000 3.359333 3.744889 0.741068 0.001617 1.272419
3073 10 14.601000 47.141000 177.354000 2.395000 3.482667 3.836111 1.160874 0.001003 1.211810
4097 10 16.350000 48.701000 193.906000 2.395000 3.378444 3.857222 1.496658 0.000676 1.163654
5121 10 16.410000 48.602000 194.725000 2.395000 3.402778 3.888333 1.759824 0.000483 1.114667
6145 10 16.860000 49.100000 198.994000 2.395000 3.377111 3.879556 1.964748 0.000363 1.065327
7169 10 16.529000 49.150000 196.344000 2.395000 3.450444 3.890333 2.122158 0.000286 1.016074
8193 10 16.420000 49.591000 195.284000 2.395000 3.453778 3.919333 2.243979 0.000235 0.969221
9217 10 17.021000 49.930000 200.996000 2.395000 3.420667 4.131889 2.354167 0.000195 0.932139
10241 10 17.320000 50.660000 203.626000 2.395000 3.380667 4.138444 2.442495 0.000166 0.896720
11265 10 16.980000 50.722000 200.804000 2.395000 3.444889 4.303889 2.515230 0.000145 0.863932
12289 10 17.001000 51.181000 200.804000 2.395000 3.421556 4.355111 2.575657 0.000129 0.833663
13313 10 17.751000 53.271000 208.674000 2.395000 3.462667 4.819556 2.615166 0.000119 0.802790
14337 10 18.030000 53.622000 211.286000 2.395000 3.442889 4.902889 2.655357 0.000110 0.776481
15361 10 18.461000 53.980000 215.005000 2.395000 3.377222 4.969667 2.696777 0.000102 0.754176
16385 10 18.220000 55.051000 213.016000 2.395000 3.424000 4.983000 2.723137 0.000096 0.731191
17409 10 18.419000 56.731000 215.504000 2.395000 3.479333 5.388333 2.736709 0.000094 0.708711
18433 10 18.741000 57.691000 218.926000 2.395000 3.501778 5.428556 2.749297 0.000092 0.688232
19457 10 18.771000 58.220000 219.085000 2.395000 3.486111 5.355222 2.762310 0.000090 0.669620
20481 10 18.830000 58.732000 219.687000 2.395000 3.487444 5.409667 2.775891 0.000088 0.652665
21505 10 19.020000 60.540000 221.936000 2.395000 3.526222 5.555222 2.779503 0.000087 0.636207
22529 10 19.390000 61.380000 225.246000 2.395000 3.482889 5.561667 2.785196 0.000086 0.621054
23553 10 19.561000 62.701000 227.166000 2.395000 3.506222 5.660778 2.786895 0.000086 0.606792
24577 10 19.590000 64.132000 227.535000 2.395000 3.515000 5.766222 2.783486 0.000086 0.593526
25601 10 19.919000 65.642000 230.855000 2.395000 3.518333 5.939444 2.777769 0.000087 0.581244
26625 10 20.231000 66.681000 233.987000 2.395000 3.519667 6.005222 2.773602 0.000088 0.569620
27649 10 20.361000 67.542000 235.537000 2.395000 3.547444 6.091889 2.770679 0.000088 0.558620
28673 10 20.479000 68.511000 236.487000 2.395000 3.521889 6.145111 2.767952 0.000088 0.548235
29697 10 20.710000 70.442000 238.806000 2.395000 3.522889 6.278556 2.759720 0.000089 0.538897
30721 10 20.911000 71.532000 240.895000 2.395000 3.531667 6.323111 2.752302 0.000090 0.529983
31745 10 21.101000 72.671000 242.706000 2.395000 3.521778 6.336444 2.745218 0.000091 0.521513
32769 10 21.629000 115.704000 311.318000 2.395000 10.558667 10.519778 2.483277 0.000115 0.950760
33793 10 21.419000 115.623000 308.629000 2.395000 10.493222 10.434111 2.263457 0.000135 1.157101
34817 10 21.770000 115.753000 312.509000 2.395000 10.534333 10.482000 2.082023 0.000152 1.273577
35841 10 21.620000 115.833000 310.167000 2.395000 10.440778 10.374333 1.931180 0.000165 1.343004
36865 10 21.771000 114.353000 310.108000 2.395000 10.266444 10.247778 1.817168 0.000174 1.373454
37889 10 21.750000 110.262000 306.618000 2.395000 9.902000 9.867667 1.748100 0.000180 1.372745
38913 10 21.939000 113.593000 313.009000 2.395000 10.402111 10.350778 1.679656 0.000185 1.372662
39937 10 21.711000 115.253000 311.308000 2.395000 10.466444 10.388889 1.618455 0.000190 1.369703
40961 10 21.999000 114.463000 312.758000 2.395000 10.307556 10.276444 1.578631 0.000193 1.358652
41985 10 22.520000 113.213000 315.789000 2.395000 10.065444 10.075444 1.560813 0.000194 1.342929
43009 10 22.990000 113.983000 322.219000 2.395000 10.257667 10.206556 1.552155 0.000195 1.326785
44033 10 23.140000 120.243000 325.859000 2.395000 10.495444 10.457556 1.524100 0.000197 1.314512
45057 10 23.290000 119.392000 330.189000 2.395000 10.809889 10.826556 1.512030 0.000198 1.299827
46081 10 23.831000 121.342000 334.570000 2.395000 10.695556 10.629000 1.503083 0.000198 1.285363
47105 10 23.891000 122.392000 337.728000 2.395000 10.979778 10.932222 1.498758 0.000198 1.271095
48129 10 23.840000 122.842000 338.029000 2.395000 11.069889 11.025333 1.500638 0.000198 1.257221
49153 10 23.891000 122.633000 338.069000 2.395000 11.017667 10.947778 1.511232 0.000198 1.244375
50177 10 24.259000 123.732000 343.169000 2.395000 11.175444 11.121000 1.525365 0.000197 1.232443
