#size	rtt
2	697.614500
2	697.764500
2	697.764500
2	697.820000
2	697.780000
2	697.785000
2	697.724000
2	697.830500
2	697.649500
2	697.719500
2	698.004500
2	697.709500
2	697.775000
2	697.935500
2	697.719500
2	697.675000
2	697.749000
2	697.804500
2	697.894500
2	697.865000
2	697.649500
2	697.894500
2	697.740000
2	697.870000
2	697.780000
2	697.795500
2	697.854000
2	697.824500
2	697.954500
2	697.865000
2	697.789500
2	697.874500
2	697.690000
2	697.705000
2	697.729500
2	697.885000
2	697.694000
2	697.794500
2	697.675000
2	697.819500
2	697.680000
2	697.670000
2	697.799500
2	697.899500
2	697.824500
2	697.660500
2	697.694500
2	697.665000
2	697.774500
2	697.844500
2	697.779000
2	697.805000
2	697.675000
2	697.734500
2	697.915000
2	697.930000
2	697.779500
2	697.680000
2	697.929500
2	697.744500
2	697.825000
2	699.069500
2	697.739500
2	697.735000
2	697.924500
2	697.799500
2	697.689500
2	697.760000
2	697.724500
2	697.795000
2	697.705000
2	697.669500
2	697.679500
2	697.924500
2	697.739500
2	697.734000
2	697.764500
2	697.785000
2	697.785000
2	697.680000
2	697.844500
2	697.835000
2	697.764500
2	697.685000
2	697.739500
2	695.625000
2	697.764500
2	697.730000
2	696.855000
2	697.615000
2	697.619500
2	697.669500
2	697.675000
2	697.724000
2	697.894500
2	697.880000
2	697.710000
2	697.844500
2	697.819500
2	698.324500
2	697.640000
2	697.805500
2	697.694500
2	697.745000
2	697.704500
2	697.714500
2	697.824500
2	697.735000
2	697.805000
2	697.769500
2	697.669500
2	697.755000
2	697.760000
2	697.720000
2	697.769500
2	697.734500
2	697.799000
2	697.774500
2	697.980000
2	697.664500
2	697.659500
2	697.835000
2	698.004500
2	697.764500
2	697.705500
2	697.820000
2	697.634500
2	697.750000
2	697.695000
2	697.690000
2	697.804500
2	697.230000
2	697.794500
2	697.894500
2	697.725000
2	697.845500
2	697.739500
2	697.865000
2	697.840000
2	697.834000
2	697.754000
2	697.665000
2	697.915000
2	697.719500
2	697.800000
2	697.710000
2	697.800000
2	697.764500
2	697.929500
2	697.805000
2	697.844500
2	697.765000
2	697.774500
2	697.724000
2	697.714500
2	697.835000
2	697.854500
2	697.694500
2	697.654500
2	697.799500
2	697.750000
2	697.699000
2	697.674500
2	698.105000
2	697.545000
2	697.789500
2	697.844500
2	697.694000
2	697.780500
2	697.714500
2	697.800000
2	697.829500
2	697.789500
2	697.784000
2	697.704500
2	697.679500
2	697.614500
2	697.679000
2	697.924500
2	697.725500
2	697.674500
2	697.679500
2	697.659500
2	697.810000
2	697.819500
2	697.829000
2	697.804000
2	697.859000
2	697.724500
2	697.865000
2	697.649500
2	697.689500
2	697.864000
2	697.465000
2	697.690000
2	697.764500
2	697.725000
2	697.704000
2	697.775000
2	697.644000
2	697.840000
2	697.820000
2	697.740000
2	697.775000
2	697.824500
2	697.804500
2	697.674000
2	697.739500
2	697.940000
2	697.695000
2	697.785000
2	697.709500
2	697.730000
2	697.790500
2	697.854500
2	697.729000
2	697.689500
2	697.820000
2	697.929500
2	697.734000
2	697.684500
2	697.799500
2	697.730000
2	697.965000
2	697.765500
2	697.679500
2	697.804500
2	697.785000
2	697.700000
2	697.749500
2	698.029500
2	697.794500
2	697.699000
2	697.840000
2	697.795000
2	697.660000
2	697.694500
2	697.805000
2	697.895000
2	697.890000
2	697.930000
2	697.750000
2	697.710000
2	697.764500
2	697.654500
2	697.674500
2	697.880000
2	697.749500
2	697.684500
2	697.729000
2	697.839500
2	697.969500
2	697.849500
2	698.164500
2	697.819500
2	697.695000
2	697.725000
2	697.814500
2	697.710000
2	697.659500
2	697.784000
2	697.724500
2	697.764500
2	697.699000
2	697.664500
2	697.725000
2	697.794500
2	697.700500
2	697.904500
2	697.835500
2	697.769500
2	697.709500
2	697.679000
2	697.784000
2	697.799500
2	697.710000
2	697.709500
2	697.739500
2	697.744500
2	697.810500
2	697.804000
2	697.699000
2	697.814500
2	697.945000
2	697.755000
2	697.709500
2	697.814500
2	697.755000
2	697.875000
2	697.850000
2	697.840000
2	697.879500
2	697.974500
2	697.730000
2	697.770000
2	697.755000
2	697.609500
2	697.749000
2	698.044000
2	697.725000
2	697.659500
2	697.854500
2	697.860500
2	697.730000
2	697.754500
2	697.859000
2	697.804500
2	697.844500
2	697.704500
2	697.734000
2	697.909500
2	697.840000
2	697.695000
2	697.955000
2	697.770500
2	697.770000
2	697.725000
2	697.725000
2	697.764500
2	697.609500
2	697.899500
2	697.629500
2	694.234500
2	697.679500
2	697.759500
2	697.675500
2	697.650000
2	697.705000
2	697.994500
2	697.700000
2	697.810000
2	697.689500
2	697.834500
2	697.749500
2	697.740000
2	697.795500
2	697.739500
2	697.709500
2	697.759500
2	697.705000
2	697.834000
2	697.724000
2	697.844500
2	697.914000
2	697.779500
2	697.725000
2	697.805500
2	697.729500
2	697.689500
2	697.719500
2	697.694500
2	697.835000
2	697.750000
2	697.705000
2	697.759000
2	697.644500
2	697.770000
2	697.690000
2	697.855000
2	697.805000
2	697.710000
2	697.764500
2	697.819500
2	697.724000
2	697.714500
2	697.759500
2	697.860000
2	697.705000
2	697.690000
2	697.705000
2	697.780000
2	697.735000
2	697.755000
2	697.779000
2	697.704500
2	697.769500
2	697.675000
2	697.739500
2	697.985000
2	697.695000
2	697.715000
2	697.904500
2	697.844500
2	697.824500
2	697.924500
2	697.770000
2	697.650000
2	697.999500
2	697.899500
2	697.870000
2	697.725000
2	697.725500
2	697.734000
2	697.854500
2	697.789500
2	697.844500
2	697.769500
2	697.664500
2	697.654000
2	697.764500
2	697.790000
2	697.810500
2	697.619500
2	697.860500
2	697.739500
2	697.754000
2	697.700000
2	697.685000
2	697.704000
2	697.785000
2	697.754000
2	697.714500
2	697.705000
2	697.790000
2	697.689500
2	697.680000
2	697.710000
2	697.789500
2	697.944500
2	697.734000
2	697.805000
2	697.899500
2	697.759500
2	697.694500
2	697.710500
2	697.819500
2	697.834000
2	697.744500
2	697.714500
2	697.865000
2	697.835000
2	697.749500
2	697.664500
2	697.969000
2	697.760500
2	697.740500
2	697.759000
2	697.765000
2	697.759000
2	697.660000
2	697.810000
2	697.849500
2	697.749500
2	697.639500
2	697.760500
2	697.805000
2	697.739500
2	697.969000
2	697.899500
2	697.919000
2	697.604000
2	697.710000
2	697.749500
2	697.859000
2	697.720000
2	697.714500
2	697.820500
2	697.564500
2	697.814500
2	697.759500
2	697.775000
2	697.730000
2	697.625000
2	697.909000
2	697.744500
2	697.769500
2	697.819500
2	697.680000
2	697.740500
2	697.695000
2	697.815000
2	697.644000
2	697.755000
2	697.854000
2	697.814500
2	697.719500
2	697.724500
2	697.764500
2	697.960000
2	697.755500
2	697.724500
2	697.705000
2	697.714500
2	697.724000
2	697.744500
2	697.669500
2	697.824500
2	697.655000
2	697.749000
2	697.930000
2	697.769500
2	697.690000
2	697.724500
2	697.939000
2	697.710000
2	697.744500
2	697.804000
2	697.724500
2	697.799500
2	697.750000
2	697.705500
2	697.685000
2	697.709500
2	697.725000
2	697.745000
2	697.755000
2	697.839500
2	697.739500
2	697.949500
2	697.945000
2	697.795000
2	697.874500
2	697.760500
2	697.855500
2	697.704000
2	697.805000
2	697.799500
2	697.875000
2	697.890000
2	697.785000
2	697.834500
2	697.705000
2	697.754500
2	697.970000
2	697.855000
2	697.664500
2	697.764500
2	697.800000
2	697.734500
2	697.754000
2	697.749000
2	697.684500
2	697.729500
2	697.785000
2	697.775000
2	697.749500
2	697.804000
2	697.799500
2	697.964000
2	697.859000
2	697.744500
2	697.760000
2	697.734500
2	697.719500
2	697.780000
2	697.935000
2	697.845000
2	697.915000
2	697.879500
2	697.735000
2	697.634500
2	697.710000
2	697.739500
2	697.905000
2	697.719500
2	697.734000
2	697.705000
2	697.815000
2	697.744500
2	697.704000
2	697.750000
2	697.694500
2	697.695000
2	697.765000
2	697.659500
2	697.674000
2	697.670000
2	697.790000
2	698.035000
2	697.815000
2	698.125000
2	697.689500
2	697.704500
2	697.929500
2	697.699000
2	697.885000
2	697.664500
2	697.724500
2	697.694500
2	697.705000
2	697.689500
2	697.669500
2	697.705000
2	697.884000
2	697.869500
2	697.769500
2	697.800000
2	697.734000
2	697.749000
2	697.720000
2	697.765000
2	697.689500
2	697.750000
2	697.714500
2	697.775000
2	697.714500
2	697.734000
2	697.620000
2	697.860000
2	697.815000
2	697.835000
2	697.700500
2	697.779500
2	697.694500
2	697.689500
2	697.774500
2	697.765000
2	697.699000
2	697.724500
2	697.680000
2	697.670000
2	697.800000
2	697.815000
2	697.940500
2	697.724000
2	697.715000
2	697.799500
2	697.775000
2	697.789000
2	697.684500
2	697.679000
2	697.689500
2	697.755000
2	697.705500
2	697.704500
2	697.785000
2	697.665000
2	697.695000
2	698.034500
2	697.719500
2	697.694500
2	697.709500
2	697.839000
2	697.720000
2	697.835000
2	697.780500
2	697.780000
2	697.840000
2	697.764500
2	697.904500
2	697.690000
2	697.694500
2	697.769500
2	698.004500
2	697.734500
2	697.744500
2	697.645500
2	697.835500
2	697.874500
2	697.780000
2	697.815000
2	697.690000
2	697.689500
2	697.759500
2	697.784500
2	697.724500
2	697.700500
2	697.714500
2	697.915500
2	697.649000
2	697.694000
2	697.720000
2	697.764500
2	697.734500
2	697.774500
2	697.689500
2	697.805000
2	697.680000
2	697.765000
2	697.795000
2	697.714500
2	697.755000
2	697.704000
2	697.944000
2	697.760000
2	697.720000
2	697.659500
2	697.705000
2	697.664500
2	697.640000
2	697.875500
2	697.739500
2	697.900000
2	697.739500
2	697.834000
2	697.839500
2	697.730000
2	697.675000
2	697.954500
2	697.774500
2	697.639500
2	697.749500
2	697.695000
2	697.680000
2	697.725000
2	697.889500
2	697.815000
2	697.739500
2	697.805000
2	697.860000
2	697.879500
2	697.820000
2	697.709500
2	697.105000
2	697.644500
2	697.869500
2	697.234500
2	697.474500
2	697.744500
2	697.669500
2	697.744500
2	697.870000
2	697.924500
2	697.770000
2	697.799500
2	697.754500
2	697.700000
2	697.725000
2	697.409500
2	697.744500
2	697.809500
2	697.725000
2	697.744500
2	697.695000
2	697.750500
2	697.625000
2	697.764500
2	697.974500
2	697.720000
2	697.750000
2	697.755000
2	697.724000
2	697.705000
2	697.934500
2	697.780000
2	697.690500
2	697.820500
2	697.789500
2	697.744500
2	697.725000
2	697.719500
2	697.634500
2	697.819500
2	697.915000
2	697.780000
2	697.755000
2	697.845000
2	697.669500
2	698.135000
2	697.725000
2	697.779000
2	697.719500
2	697.790000
2	697.755000
2	697.684000
2	697.725000
2	697.775000
2	697.605000
2	697.704000
2	697.884000
2	697.625000
2	697.700000
2	697.759500
2	697.949500
2	697.730000
2	697.844500
2	697.874500
2	697.964500
2	697.785000
2	697.705000
2	697.819500
2	697.780000
2	697.765000
2	697.669500
2	697.850000
2	697.664500
2	697.675000
2	697.705000
2	697.939500
2	697.814500
2	697.705500
2	697.760000
2	697.694500
2	697.689500
2	697.834500
2	697.764500
2	697.800000
2	697.684500
2	697.679000
2	697.820000
2	697.685500
2	697.749500
2	697.819500
2	697.905000
2	697.759500
2	697.894500
2	697.670000
2	697.755000
2	697.735000
2	697.634500
2	697.784000
2	697.784500
2	697.765500
2	697.774500
2	697.724500
2	697.730000
2	697.744500
2	697.834000
2	697.920000
2	697.854000
2	697.794500
2	697.724500
2	697.735000
2	697.745000
2	697.754500
2	697.695000
2	697.685000
2	697.789500
2	697.744500
2	697.725000
2	697.654000
2	697.789500
2	697.835000
2	698.459500
2	697.809500
2	697.725500
2	697.849500
2	697.770000
2	697.740000
2	697.789500
2	697.760000
2	697.899500
2	697.774500
2	697.734500
2	697.669000
2	697.730500
2	697.659500
2	697.799000
2	698.035000
2	697.845000
2	697.654500
2	697.695000
2	697.905000
2	697.719500
2	697.719500
2	697.879500
2	697.689500
2	697.860000
2	697.764500
2	697.739500
2	697.744500
2	697.739500
2	697.594000
2	697.974500
2	697.845000
2	697.700000
2	697.784000
2	698.104000
2	697.715000
2	697.735000
2	697.629000
2	697.784000
2	697.715000
2	697.669500
2	697.764500
2	697.735000
2	697.724500
2	697.584500
2	698.199000
2	697.835000
2	697.795000
2	697.775000
2	697.714500
2	697.780000
2	697.775000
2	697.700000
2	697.695000
2	697.709500
2	697.869000
2	697.785000
2	697.810500
2	697.910000
2	697.790000
2	697.954500
2	697.774500
2	697.684500
2	697.864500
2	697.764500
2	697.789500
2	697.804000
2	697.784500
2	697.724500
2	697.745000
2	697.709500
2	697.789500
2	697.800000
2	697.724500
2	697.730000
2	698.029500
2	697.815000
2	697.854000
2	697.770000
2	697.874500
2	697.740000
2	697.675000
2	697.675000
2	697.715000
2	697.864500
2	697.764500
2	697.784500
2	697.745000
2	697.789500
2	697.704000
2	698.020000
2	697.770000
2	697.775000
2	697.710000
2	697.784500
2	697.805000
2	697.724500
2	697.705000
2	697.759500
2	697.989500
2	697.630000
2	698.389500
2	697.835000
2	697.760000
2	697.719500
2	698.050000
2	697.424500
2	697.885000
2	697.865000
2	697.740000
2	697.695000
2	697.935000
2	697.729000
2	697.720000
