# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: tcn630.local.snellius.surf.nl
# Release : 4.18.0-372.80.1.el8_6.x86_64
# Version : #1 SMP Fri Nov 3 14:30:16 EDT 2023
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 38.997453 
# Number of iterations (recorded+unrecorded): 1009708518 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
0.00	4139.73
999732.71	2470.84
1999654.41	23500.47
2999676.11	2641.83
3999428.82	2300.85
4999551.51	2110.86
5555710.19	320.98
5999453.21	33429.82
6999384.91	2211.86
7999257.62	25110.36
8024545.97	20730.65
8999250.31	3140.79
9999072.02	9461.38
10999033.72	3480.77
11999016.42	1611.89
12998879.12	1450.91
13998901.82	3849.75
14998803.52	3071.80
15998786.22	3640.76
16998607.92	2610.83
17998540.62	1750.89
18998572.32	1601.90
19998444.02	4701.69
20998477.72	59538.11
21998388.42	4471.71
22998371.11	2211.86
23998222.82	2001.87
24998196.52	2730.82
25765397.42	9550.38
25998099.22	5310.65
26065285.83	5611.63
26325546.84	4939.68
26998050.92	3380.78
27997953.62	2020.87
28997835.33	1700.89
29997768.03	2320.85
30997719.72	1410.91
31997722.42	1570.90
32997564.13	3341.78
33997496.83	1750.89
34997509.52	3330.78
35997481.22	1610.89
36997363.92	2209.86
37997215.63	2850.81
38997168.33	3270.79
39997170.02	1990.87
40997132.72	2700.82
41997014.43	1381.91
42996967.13	1360.91
43996918.83	2261.85
44996821.53	3310.78
45996773.23	1591.90
46996635.93	2499.84
47996638.63	2680.82
48996640.32	1299.92
49996543.03	1350.91
50996484.73	1800.88
51996427.43	2520.84
52289296.30	430.97
52881913.60	13561.11
52996370.13	4519.70
53996301.83	2950.81
54996213.53	5321.65
55996316.22	1900.88
56996028.93	1420.91
57171082.50	9490.38
57996060.63	2360.85
58995883.33	1520.90
59995865.03	4801.69
60995817.73	2330.85
61995699.43	1419.91
62995702.13	2940.81
63995564.83	1920.87
64995536.53	1400.91
65995549.23	3010.80
66995420.93	5370.65
67995433.63	1570.90
68995275.33	1390.91
69995298.03	1310.91
70995209.73	2231.85
71995082.43	3880.75
72995055.13	2130.86
73995026.83	1370.91
74994859.54	1290.92
75753371.00	340.98
75994751.24	1310.91
76994653.94	1670.89
77994595.64	2870.81
78994648.33	1610.89
79994530.04	2540.83
80994532.73	1940.87
81994425.44	1320.91
82994347.14	2620.83
83994419.83	2520.84
84994251.54	2500.84
85772802.69	17239.87
85994234.23	3920.74
86994165.93	3240.79
87994048.64	2910.81
88994010.34	1540.90
89993833.04	1360.91
90993784.74	1360.91
91993737.44	2130.86
92993690.14	2810.82
93993641.84	1320.91
94993564.54	1560.90
95993556.24	1340.91
96993498.94	1330.91
97993430.64	1270.92
98993293.34	3530.77
99993185.05	1601.90
100993237.74	1420.91
101993110.44	1590.90
102992972.15	1540.90
103992964.84	1370.91
104992926.54	2850.81
105992879.24	1400.91
106362285.12	11280.26
106992720.95	3880.75
107992783.64	2710.82
108992635.34	1620.89
109992538.05	1410.91
110992540.74	1340.91
111992472.44	1320.91
112992395.14	1350.91
113992336.84	3020.80
114992309.54	1590.90
115992211.24	1440.91
116992063.95	2380.84
117992085.64	2021.87
118992008.35	2340.85
119991901.05	2840.81
120991832.75	1920.87
121149026.48	1821.88
121991875.44	14020.08
122991677.15	2310.85
123991619.85	1630.89
124991710.54	1341.91
125991504.25	1299.92
126991564.94	1331.91
127991347.65	1920.87
128991361.35	1490.90
129991313.05	1299.92
130991204.75	3080.80
131991156.45	1270.92
132991020.15	1339.91
133990951.85	1290.92
134991023.55	3291.79
135990916.25	1500.90
136172219.41	320.98
136990787.95	2551.83
137990841.65	1910.88
138990712.35	4130.73
139990755.04	1390.91
140990517.76	1430.91
141990540.45	1270.92
142990401.15	1321.91
143990304.86	1490.90
144990246.56	1900.88
145990289.25	1280.92
146209249.95	17409.86
146229800.61	3490.77
146990160.95	5531.64
147990063.66	3729.76
148990025.36	1800.88
149990048.05	1590.90
150989910.75	5489.64
151989991.45	1501.90
152989764.16	1371.91
153989746.85	4650.70
154989669.55	3180.79
155989662.25	2829.82
156989493.96	2700.82
157989516.65	2450.84
158989378.36	1960.87
159989301.06	3070.80
160989242.76	2800.82
161989235.45	2500.84
162989067.16	2139.86
163988989.86	3240.79
164988941.56	2480.84
165988914.26	3350.78
166988775.96	5081.67
167988898.65	2700.82
168988741.36	2470.84
169988713.06	1930.87
170988605.76	2979.81
171988587.46	3380.78
172988430.16	1590.90
173988471.86	1370.91
174988294.56	1320.91
175988216.27	1370.91
176988178.96	1320.91
177988091.67	1319.91
178988033.37	1330.91
179813742.44	17309.87
179987966.07	3930.74
180855813.39	9169.40
180896991.70	3660.76
180987986.76	3180.79
181987990.46	1739.89
182987822.16	3059.80
183987704.87	1419.91
184987717.56	2540.83
185987579.27	1579.90
186987600.96	3481.77
187987553.66	2140.86
188987496.36	1390.91
189987328.07	1380.91
190987299.77	2821.82
191987262.46	1330.91
192987185.16	2880.81
193987117.87	1539.90
194986979.57	1390.91
195986952.27	1340.91
196986912.97	1311.91
197986816.67	1350.91
198986798.37	2300.85
199986730.07	2761.82
200986632.77	1999.87
201986585.47	1940.87
202986457.17	2721.82
203986459.87	1840.88
204986392.57	1289.92
205164675.93	10280.33
205986304.27	5290.65
206986236.97	3810.75
207986267.66	2031.87
208986210.36	1440.91
209986113.07	1500.90
210986045.77	1350.91
211986008.47	1869.88
212985830.17	3490.77
213985872.87	2690.82
214985834.57	2290.85
215985587.28	1349.91
216985537.98	1341.91
217985470.68	1331.91
218985403.38	3189.79
219985376.08	2080.86
220985407.77	2080.86
221985310.47	2690.82
222096736.19	2530.83
222985203.17	18079.82
223985334.86	2190.86
224985117.57	1480.90
225985059.27	1370.91
226736961.17	13010.15
226985010.97	4020.74
227151675.09	6911.55
227593619.23	4870.68
227984942.67	3541.77
228026180.98	4742.69
228359060.24	4890.68
228666187.18	4770.69
228670996.87	7901.48
228984885.37	2511.84
229069831.82	4221.72
229413950.35	5140.66
229726017.97	4960.68
229984808.07	2371.85
230066444.74	6771.56
230362154.43	5950.61
230721260.98	5819.62
230984649.78	2960.81
231037938.30	4661.70
231984682.47	2400.84
232984535.18	1440.91
233984417.88	4269.72
234984469.57	6219.59
235984372.28	1399.91
236984363.97	1370.91
237984196.68	2239.85
238984208.38	1510.90
239984180.07	4351.72
240983943.78	2230.85
241983905.48	1420.91
242983918.18	1349.91
243983889.88	1360.91
244983832.58	1740.89
245983714.28	4600.70
246870961.34	13499.12
246983696.98	2379.84
247983628.68	1790.88
248983531.38	1379.91
249983503.08	1350.91
250983445.78	3870.75
251983498.47	3170.79
252983260.18	6670.56
253983152.88	1650.89
254379558.00	9530.38
254983074.59	2760.82
255983017.29	2900.81
256982918.99	1680.89
257982871.69	3500.77
258982783.39	1761.88
259982726.09	1400.91
260982717.78	1351.91
261982690.48	36049.65
262982613.18	84357.49
263982474.89	3370.78
264982527.58	1700.89
265982329.29	1450.91
266982361.98	1340.91
267982293.68	1390.91
268982116.39	1370.91
269982069.09	3010.80
270982030.79	2810.82
271982073.48	1470.90
272981955.19	1360.91
273657110.10	9290.39
273981907.89	2120.86
274981809.59	1890.88
275981842.28	3400.78
276981653.99	1790.88
277981716.68	2630.83
278981619.38	1380.91
279981451.09	1340.91
280981403.79	2030.87
281981385.49	2790.82
282981288.19	1520.90
283981269.89	1370.91
284981092.59	2670.83
285981084.29	1340.91
286981056.99	2330.85
287980968.69	2771.82
288980891.39	2120.86
289980834.09	1450.91
290980695.80	1400.91
291980678.49	1470.90
292980600.19	1880.88
293980622.89	3020.80
294980504.59	1590.90
295980367.30	1920.87
296980429.99	1410.91
297980301.69	2490.84
298980244.39	1310.91
299980136.10	1300.92
300980038.80	1370.91
301980000.50	1360.91
302979953.20	3380.78
303561651.21	12760.17
303938056.63	320.98
303979964.89	3600.76
304979887.59	3440.78
305979789.30	1640.89
306979712.00	4600.70
307979774.69	1650.89
308979606.40	1300.92
309979499.10	1350.91
310979430.80	5640.63
311979433.50	1990.87
312979295.20	1720.89
313979297.90	1980.87
314979249.60	2571.83
315979192.29	3080.80
316979084.00	3091.80
317024193.05	420.97
317978956.70	1780.88
318979009.39	5020.67
319978941.10	1550.90
320637386.10	16100.95
320978753.80	4130.73
321978705.50	2740.82
322978758.20	2310.85
323093803.68	2150.86
323978689.90	12791.16
324978622.60	2330.85
325978545.30	1640.89
326978467.00	1380.91
327978259.71	4540.70
328978301.40	2030.87
329978214.10	1680.89
330978175.80	2320.85
331978088.50	1580.90
332977940.21	1330.91
333977862.91	2880.81
334977924.60	4141.73
335978227.28	2660.83
336977760.00	1620.89
337977651.71	2180.86
338977654.40	2240.85
339977526.11	2260.85
340977568.80	1590.90
341977460.50	1330.91
342977373.21	1300.92
343977264.91	1341.91
344977207.61	1300.92
345977100.31	1340.91
346977042.01	1270.92
347977084.70	1320.91
348976996.41	1340.91
349976929.11	1310.91
350976840.81	1280.92
351976713.51	1330.91
352784812.74	16240.94
352976635.21	4040.74
353976677.91	3400.78
354976540.61	1790.88
355976562.31	1570.90
356976395.01	2250.85
357976436.71	1460.90
358976359.41	1440.91
359976251.11	4190.73
360976183.81	6050.60
361976095.51	4051.74
362976038.21	4760.69
363976030.91	4350.72
364976102.60	3890.75
365975865.31	2750.82
366975727.02	2090.86
367420709.96	7891.48
367975799.71	3870.75
368975621.42	3040.80
369975534.12	1760.89
370975575.81	3061.80
371975408.52	2160.86
372845505.70	9470.38
372975370.22	2331.85
373975312.92	1450.91
374975375.61	3520.77
375975177.32	2090.86
376975130.02	1390.91
377975131.71	1300.92
378975034.41	1340.91
379974976.11	1980.87
