#size	rtt
1	2.315000
1	1.769500
1	1.774500
1	1.610000
1	1.679500
1	1.575000
1	1.804500
1	1.695000
1	1.570000
1	1.655000
1	1.659500
1	1.545000
1	1.634500
1	1.784500
1	1.780000
1	1.595000
1	1.665500
1	1.609500
1	1.560000
1	1.554500
1	1.929500
1	1.630000
1	1.699500
1	1.735000
1	1.595000
1	1.660000
1	1.655000
1	1.534500
1	3.079500
1	1.635000
1	1.769500
1	1.610000
1	1.585000
1	1.680000
1	1.654500
1	1.619500
1	1.650000
1	1.620000
1	1.605000
1	1.555500
1	1.619500
1	1.580000
1	1.569500
1	1.590000
1	1.625500
1	1.744500
1	1.665000
1	1.614500
1	1.609500
1	1.575000
1	1.589500
1	1.610000
1	2.594500
1	1.650000
1	1.559500
1	1.555000
1	1.600000
1	1.569500
1	1.670000
1	1.660000
1	1.644500
1	1.730000
1	1.795000
1	1.675500
1	1.785000
1	1.730000
1	1.555000
1	1.644500
1	1.704500
1	1.700000
1	1.714500
1	1.735500
1	1.680000
1	1.680000
1	1.569500
1	1.595000
1	1.570000
1	1.634500
1	1.644500
1	1.579500
1	1.650000
1	1.620000
1	7.959500
1	1.620000
1	1.605000
1	1.605000
1	1.670000
1	1.579500
1	1.590000
1	1.654500
1	1.585000
1	1.605000
1	1.664500
1	1.715500
1	1.670000
1	3.585000
1	1.710000
1	1.695000
1	1.620500
1	1.624500
1	1.650000
1	1.550000
1	1.535000
1	1.530000
1	1.595000
1	1.644500
1	1.590000
1	1.580000
1	1.575000
1	1.710000
1	1.684500
1	1.644500
1	2.674500
1	1.565000
1	1.585000
1	1.529500
1	1.600000
1	1.530000
1	1.684500
1	1.709500
1	1.674500
1	1.689500
1	1.589500
1	1.620000
1	1.595000
1	1.640000
1	1.975000
1	1.615500
1	1.549500
1	1.580000
1	1.624500
1	1.614500
1	1.635000
1	1.619500
1	1.595000
1	1.670000
1	1.639500
1	1.685000
1	1.649500
1	1.670000
1	1.684500
1	1.684500
1	1.625000
1	1.654500
1	1.644500
1	1.639500
1	1.684500
1	1.634500
1	1.649500
1	1.629500
1	1.610000
1	1.570000
1	1.599500
1	1.569500
1	1.589500
1	1.639500
1	1.614500
1	1.714500
1	1.619500
1	1.579500
1	1.675000
1	1.629500
1	1.569500
1	1.629500
1	1.579500
1	1.614500
1	1.589500
1	1.544500
1	1.559500
1	1.605000
1	1.690000
1	1.664500
1	1.630000
1	1.740000
1	1.649500
1	1.599500
1	1.600000
1	1.670500
1	1.599500
1	1.644500
1	1.605000
1	2.860000
1	1.644500
1	1.605000
1	1.589500
1	1.575000
1	1.575000
1	1.620000
1	3.229500
1	1.685000
1	1.710000
1	1.700500
1	1.640000
1	1.545000
1	1.629500
1	1.595000
1	1.685000
1	1.649500
1	1.644500
1	1.669500
1	1.610000
1	1.640500
1	1.685000
1	1.634500
1	1.660000
1	1.624500
1	1.740000
