#size	rtt
16	3.525000
16	3.929500
16	5.809500
16	6.480000
16	5.840500
16	3.580500
16	3.430000
16	4.510000
16	3.350000
16	4.540500
16	3.994500
16	3.949500
16	3.590000
16	3.334500
16	5.339500
16	3.579500
16	3.651000
16	3.579500
16	3.869500
16	3.930500
16	3.664500
16	7.675000
16	3.185000
16	3.374500
16	3.685000
16	3.870000
16	3.454500
16	3.775000
16	3.469500
16	3.989500
16	3.505500
16	3.479500
16	3.855000
16	3.320000
16	3.894500
16	6.575000
16	3.529500
16	3.755000
16	3.369500
16	3.930000
16	3.550500
16	3.760000
16	3.499500
16	3.240000
16	3.980000
16	3.415000
16	3.355000
16	3.344500
16	3.560000
16	4.900000
16	4.190000
16	3.360000
16	3.690000
16	3.740500
16	3.925000
16	3.335000
16	6.785500
16	3.620500
16	3.905000
16	3.775000
16	3.881000
16	3.899500
16	3.799500
16	4.360500
16	3.314500
16	3.725000
16	3.600500
16	3.504500
16	3.449500
16	3.860000
16	5.480000
16	3.315000
16	3.874500
16	3.730000
16	3.485000
16	3.870000
16	3.995500
16	9.641000
16	3.455500
16	3.505000
16	3.870500
16	3.254500
16	3.630000
16	3.715000
16	3.750000
16	3.830000
16	4.085000
16	3.544500
16	3.985000
16	3.570000
16	3.660500
16	7.010000
16	3.689500
16	3.870000
16	3.395000
16	3.290000
16	3.875500
16	3.729500
16	3.494500
16	3.560000
16	3.550500
16	3.705000
16	3.335000
16	3.910500
16	3.485000
16	9.074500
16	3.405000
16	3.851000
16	3.425000
16	3.865000
16	3.515500
16	3.690000
16	3.919500
16	3.755500
16	3.484500
16	3.860000
16	3.490000
16	3.649500
16	3.580000
16	5.240500
16	3.325000
16	3.624500
16	3.790000
16	3.835000
16	4.400500
16	3.705000
16	3.625000
16	3.735500
16	3.499500
16	3.735000
16	3.404500
16	3.625000
16	3.325000
16	6.210000
16	3.534500
16	3.460500
16	3.680500
16	3.675000
16	3.789500
16	3.470000
16	6.680500
16	3.704500
16	3.464500
16	3.550500
16	3.409500
16	3.814500
16	3.295500
16	7.729500
16	3.625000
16	3.694500
16	3.565000
16	3.265000
16	3.685000
16	3.429500
16	4.075000
16	3.705000
16	3.315500
16	3.570000
16	3.520000
16	3.565000
16	3.790000
16	4.105000
16	3.855500
16	4.094500
16	3.580000
16	3.630000
16	3.935000
16	3.575000
16	4.660000
16	4.335500
16	3.915000
16	3.324500
16	3.680500
16	3.644500
16	3.264500
16	5.615500
16	3.415500
16	3.550000
16	3.890000
16	3.420500
16	3.719500
16	3.875000
16	3.400500
16	4.005000
16	3.570000
16	4.000000
16	3.685000
16	4.324500
16	3.564500
16	4.030000
16	3.334500
16	3.709500
16	3.490500
16	3.790000
16	3.445000
16	3.690500
16	4.755000
16	3.824500
16	3.450500
16	3.825000
16	3.785000
16	3.685500
16	3.790000
16	3.834500
16	3.315000
16	3.960000
16	3.090000
16	3.624500
16	3.799500
16	3.244500
16	3.699500
16	3.340500
16	3.395000
16	3.190000
16	4.140000
16	3.495000
16	3.335000
16	3.675500
16	3.655000
16	3.505000
16	3.780000
16	3.260000
16	3.400000
16	3.685000
16	3.700500
16	3.774500
16	3.425000
16	3.530500
16	3.515000
16	3.869500
16	3.695000
16	3.484500
16	3.615000
16	3.855000
16	3.545000
16	3.634500
16	3.590500
16	3.585000
16	3.449500
16	3.484500
16	3.615000
16	3.769500
16	4.060000
16	3.680500
16	3.799500
16	3.744500
16	28.666500
16	3.575000
16	3.714500
16	3.586000
16	4.200500
16	3.415000
16	3.670500
16	3.710000
16	3.479500
16	3.745000
16	3.515000
16	3.644500
16	3.780500
16	3.410000
16	3.564500
16	3.835000
16	3.500000
16	3.525000
16	3.859500
16	3.410500
16	3.264500
16	4.689500
16	3.760000
16	3.440500
16	3.550000
16	3.289500
16	3.905500
16	3.530000
16	4.805000
16	3.784500
16	3.810000
16	3.699500
16	3.770000
16	3.550500
16	3.630000
16	5.345000
16	4.030000
16	3.764500
16	3.560000
16	3.719500
16	3.835000
16	3.915000
16	4.880000
16	3.325000
16	3.874500
16	3.790000
16	3.625000
16	4.105000
16	3.285000
16	11.030000
16	3.504500
16	3.590000
16	3.575000
16	3.155000
16	3.655000
16	3.531000
16	3.770000
16	3.629500
16	3.929500
16	3.755500
16	3.685000
16	3.434500
16	3.775000
16	5.021000
16	3.655000
16	3.470000
16	3.350000
16	3.730000
16	3.989500
16	3.605000
16	4.465500
16	3.479500
16	3.789500
16	3.645000
16	3.874500
16	3.335000
16	3.254500
16	3.544500
16	3.379500
16	3.695000
16	3.330000
16	3.435000
16	3.645500
16	3.435000
16	5.735000
16	4.375500
16	3.360500
16	3.710000
16	3.465500
16	3.580000
16	3.480000
16	3.830000
16	3.671000
16	3.754500
16	3.529500
16	3.696000
16	3.555500
16	3.585000
16	3.481000
16	3.689500
16	3.574500
16	3.675000
16	3.615000
16	3.459500
16	3.659500
16	3.450500
16	3.429500
16	3.470000
16	3.475500
16	3.755000
16	3.255000
16	3.760000
16	3.599500
16	3.570000
16	3.510500
16	3.364500
16	3.750000
16	3.785500
16	4.035000
16	3.500000
16	3.699500
16	3.760000
16	3.855000
16	3.490500
16	3.765500
16	3.554500
16	3.640000
16	3.961000
16	3.180500
16	3.925500
16	3.960500
16	3.194500
16	3.670500
16	3.850500
16	3.560000
16	3.455000
16	3.720500
16	3.715000
16	3.540500
16	3.550500
16	3.525000
16	3.924500
16	3.720000
16	3.575000
16	3.639500
16	3.475000
16	3.410500
16	3.785000
16	4.949500
16	3.949500
16	3.785000
16	3.470000
16	3.925000
16	3.370500
16	3.895000
16	4.104500
16	3.405000
16	3.730000
16	3.385000
16	3.780000
16	3.314500
16	3.605000
16	3.775000
16	3.875000
16	3.830500
16	3.715000
16	3.690500
16	3.640000
16	3.865000
16	3.480500
16	4.260000
16	3.645000
16	3.805500
16	3.695000
16	3.640000
16	3.585000
16	3.750500
16	3.550000
16	3.475500
16	3.940000
16	3.380000
16	3.510000
16	3.790500
16	3.625000
16	3.909500
16	3.165000
16	3.474500
16	3.764500
16	3.625500
16	3.679500
16	3.645000
16	3.485000
16	3.555000
16	3.719500
16	3.310500
16	3.515000
16	3.615000
16	3.865500
16	3.440000
16	3.760000
16	3.460500
16	3.710000
16	3.739500
16	3.675000
16	3.609500
16	3.434500
16	3.540000
16	3.714500
16	3.815000
16	3.600000
16	3.624500
16	5.180000
16	3.815000
16	3.839500
16	3.555000
16	4.105000
16	3.390000
16	3.675000
16	3.735000
16	4.799500
16	3.395000
16	3.889500
16	3.330000
16	3.625000
16	3.445000
16	3.955000
16	3.440000
16	3.630500
16	3.820000
16	3.815000
16	3.835500
16	3.340000
16	3.605000
16	3.516000
16	3.660000
16	4.085000
16	3.655500
16	3.350000
16	3.414500
16	3.309500
16	3.540000
16	3.835000
16	3.435000
16	3.715500
16	3.644500
16	3.460000
16	3.715000
16	3.750000
16	3.535000
16	3.911000
16	3.595000
16	3.860000
16	3.575500
16	3.625000
16	3.495000
16	3.325500
16	3.605000
16	3.270000
16	4.015500
16	3.949500
16	3.669500
16	3.755000
16	3.930000
16	3.714500
16	3.680000
16	3.409500
16	3.605000
16	3.915000
16	3.465500
16	3.695500
16	3.504500
16	3.295500
16	3.624500
16	3.700000
16	3.745000
16	3.635000
16	3.485000
16	3.500000
16	3.545500
16	13.205500
16	3.435500
16	3.660000
16	3.665000
16	4.095000
16	3.435000
16	3.830500
16	3.749500
16	3.240000
16	3.416000
16	3.695000
16	4.694500
16	3.805000
16	3.535000
16	3.625000
16	3.784500
16	3.624500
16	3.849500
16	3.835000
16	3.920500
16	3.600000
16	3.410000
16	3.860500
16	3.360000
16	3.909500
16	3.630500
16	4.000000
16	3.275000
16	4.070000
16	3.725000
16	3.755000
16	4.455500
16	5.340000
16	3.289500
16	3.654500
16	3.520000
16	3.769500
16	3.725000
16	3.655500
16	3.520000
16	3.510000
16	3.735500
16	3.785000
16	3.485000
16	3.910000
16	3.455000
16	3.570000
16	3.930500
16	3.545000
16	3.575000
16	3.945500
16	3.395000
16	3.539500
16	3.510000
16	4.010000
16	3.585000
16	3.460000
16	3.355000
16	3.849500
16	3.675000
16	3.646000
16	3.534500
16	3.805000
16	3.165500
16	3.805000
16	3.405000
16	3.785500
16	3.255000
16	3.830000
16	3.345500
16	3.615500
16	3.520000
16	3.400000
16	3.720000
16	3.720000
16	3.805000
16	3.400500
16	3.649500
16	3.810000
16	3.435000
16	3.880000
16	3.510000
16	4.674500
16	3.605500
16	3.824500
16	3.610000
16	3.460500
16	3.590000
16	3.570000
16	3.500500
16	3.780000
16	3.779500
16	3.580000
16	3.785000
16	3.680000
16	3.440500
16	3.785000
16	3.614500
16	3.630000
16	3.660000
16	3.334500
16	3.835000
16	3.809500
16	3.455000
16	3.805000
16	3.360500
16	3.210000
16	3.270000
16	3.745500
16	3.914500
16	3.755000
16	3.520000
16	3.510000
16	3.239500
16	4.080000
16	3.515500
16	3.720000
16	3.789500
16	3.630000
16	3.505000
16	3.725000
16	3.520500
16	3.845000
16	3.590000
16	3.565500
16	3.739500
16	3.880000
16	3.590000
16	3.494500
16	3.475000
16	3.375500
16	3.500000
16	27.961000
16	3.645500
16	3.599500
16	3.785000
16	3.115000
16	3.530000
16	3.324500
16	3.640000
16	3.830000
16	3.480000
16	3.830000
16	3.314500
16	4.089500
16	3.155000
16	3.910000
16	3.805000
16	3.299500
16	3.555000
16	3.720500
16	3.505000
16	3.564500
16	5.215000
16	3.690500
16	3.639500
16	3.510000
16	3.660000
16	3.625000
16	3.455000
16	3.840000
16	3.405000
16	3.629500
16	3.710500
16	3.980000
16	3.605000
16	3.810500
16	3.830000
16	3.870000
16	3.575000
16	3.265000
16	3.355000
16	3.805000
16	3.660000
16	4.659500
16	3.780000
16	3.430000
16	3.670000
16	3.524500
16	3.480500
16	3.875000
16	3.570000
16	3.750000
16	3.285000
16	3.905000
16	3.275000
16	3.405000
16	3.634500
16	3.185000
16	3.570000
16	3.834500
16	3.880000
16	3.565000
16	3.610000
16	3.785000
16	3.810500
16	3.735000
16	3.580000
16	3.590500
16	3.749500
16	3.679500
16	3.410500
16	3.660000
16	3.769500
16	3.565000
16	3.610000
16	3.504500
16	3.350000
16	3.795000
16	3.659500
16	3.560000
16	3.565500
16	3.485000
16	3.614500
16	3.595500
16	3.550000
16	3.534500
16	3.689500
16	3.585000
16	2.985000
16	3.835000
16	3.665500
16	3.655500
16	3.829500
16	5.065500
16	3.474500
16	3.605000
16	3.595000
16	3.669500
16	3.425000
16	3.589500
16	3.510500
16	3.605000
16	3.579500
16	3.245000
16	3.870000
16	3.559500
16	3.745000
16	3.094500
16	3.530000
16	3.740500
16	3.440000
16	3.785000
16	3.660500
16	3.355000
16	4.595000
16	3.770000
16	3.445000
16	3.840000
16	3.575000
16	3.290500
16	3.550000
16	3.660000
16	3.865500
16	3.469500
16	3.845000
16	3.780000
16	3.265000
16	3.935000
16	3.345000
16	3.520000
16	3.360500
16	3.855000
16	3.515000
16	3.845000
16	3.339500
16	3.784500
16	3.645000
16	3.565000
16	3.730000
16	3.825000
16	3.705000
