# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 2.655000 4.950000 27.912000 1.327500 0.151333 0.279333 -nan -nan -nan
1025 10 11.581000 47.139000 151.182000 1.327500 3.930222 3.967444 0.251391 0.003609 inf
2049 10 11.882000 47.680000 154.478000 1.327500 3.962000 3.991778 0.864719 0.001818 1.497954
3073 10 11.952000 48.169000 155.640000 1.327500 4.013333 4.030778 1.350682 0.001107 1.415960
4097 10 13.896000 53.450000 179.637000 1.327500 4.519667 4.412667 1.649073 0.000816 1.277826
5121 10 14.147000 52.859000 181.740000 1.327500 4.474444 4.399222 1.939773 0.000603 1.225361
6145 10 14.286000 53.750000 182.661000 1.327500 4.422333 4.308000 2.164922 0.000471 1.171040
7169 10 14.457000 53.259000 184.535000 1.327500 4.440556 4.330222 2.370194 0.000371 1.135831
8193 10 14.486000 52.979000 184.465000 1.327500 4.400556 4.322444 2.546399 0.000297 1.104432
9217 10 14.576000 52.889000 185.007000 1.327500 4.360778 4.280111 2.696109 0.000242 1.074203
10241 10 14.736000 53.409000 186.719000 1.327500 4.373222 4.237778 2.816378 0.000203 1.041437
11265 10 14.998000 52.257000 189.083000 1.327500 4.344778 4.137778 2.940313 0.000167 1.020778
12289 10 15.209000 53.059000 191.158000 1.327500 4.340889 4.231222 3.035442 0.000142 0.994019
13313 10 16.340000 62.426000 200.184000 1.327500 4.087111 5.205222 3.012643 0.000147 0.952994
14337 10 16.510000 64.881000 201.577000 1.327500 4.053000 5.434667 2.985413 0.000153 0.917616
15361 10 16.821000 66.705000 204.743000 1.327500 4.059222 5.576000 2.964651 0.000158 0.885504
16385 10 16.880000 68.227000 205.393000 1.327500 4.065889 5.726222 2.949279 0.000161 0.856229
17409 10 17.303000 69.470000 209.842000 1.327500 4.090222 5.805333 2.944646 0.000162 0.829114
18433 10 17.292000 69.811000 209.753000 1.327500 4.092556 5.887667 2.952426 0.000160 0.804581
19457 10 17.343000 69.520000 209.973000 1.327500 4.060333 5.835333 2.975748 0.000156 0.784050
20481 10 17.312000 69.770000 209.953000 1.327500 4.092556 5.848667 3.004579 0.000152 0.766614
21505 10 17.562000 70.201000 212.478000 1.327500 4.095333 5.915556 3.038083 0.000147 0.752174
22529 10 17.583000 69.861000 212.298000 1.327500 4.052000 5.882000 3.079361 0.000141 0.741991
23553 10 17.552000 70.030000 212.628000 1.327500 4.123111 5.850778 3.121641 0.000136 0.733665
24577 10 17.522000 70.441000 212.197000 1.327500 4.108556 5.884333 3.162414 0.000130 0.726027
25601 10 17.543000 71.262000 212.337000 1.327500 4.100778 5.944444 3.198927 0.000126 0.717847
26625 10 17.642000 71.324000 213.540000 1.327500 4.124444 5.970111 3.237921 0.000121 0.711789
27649 10 17.954000 72.115000 216.354000 1.327500 4.090444 6.074667 3.274939 0.000117 0.705880
28673 10 17.862000 72.294000 215.593000 1.327500 4.108111 6.083667 3.311544 0.000113 0.700716
29697 10 18.424000 74.801000 220.834000 1.327500 4.066000 6.315000 3.336375 0.000111 0.691931
30721 10 18.295000 73.658000 220.021000 1.327500 4.119000 6.236000 3.370643 0.000107 0.687493
31745 10 18.474000 74.920000 221.855000 1.327500 4.123889 6.293889 3.399252 0.000104 0.681419
32769 10 19.817000 98.985000 277.510000 1.327500 8.815556 8.765111 3.290144 0.000115 0.748682
33793 10 19.988000 99.607000 279.021000 1.327500 8.793444 8.777556 3.199881 0.000123 0.788102
34817 10 20.198000 98.884000 281.176000 1.327500 8.799556 8.796444 3.133900 0.000129 0.803176
35841 10 20.558000 100.056000 285.013000 1.327500 8.825889 8.822000 3.078768 0.000134 0.810406
36865 10 20.818000 100.980000 288.531000 1.327500 8.927889 8.894333 3.033874 0.000137 0.811671
37889 10 21.209000 102.712000 293.139000 1.327500 9.005444 8.966778 2.994211 0.000141 0.810646
38913 10 21.230000 102.591000 294.029000 1.327500 9.081000 9.001222 2.966984 0.000143 0.804618
39937 10 21.489000 103.053000 296.495000 1.327500 9.067222 9.053444 2.948741 0.000144 0.796277
40961 10 21.711000 103.163000 298.630000 1.327500 9.057778 9.040333 2.939880 0.000145 0.786568
41985 10 21.761000 103.444000 299.721000 1.327500 9.123444 9.048000 2.937463 0.000145 0.776717
43009 10 21.861000 103.965000 300.663000 1.327500 9.117000 9.103556 2.939724 0.000145 0.767226
44033 10 21.871000 104.005000 301.584000 1.327500 9.208222 9.131556 2.947892 0.000144 0.758567
45057 10 22.082000 104.345000 303.307000 1.327500 9.165222 9.120222 2.960731 0.000143 0.751047
46081 10 22.372000 104.866000 306.373000 1.327500 9.183667 9.156000 2.977161 0.000142 0.744744
47105 10 22.441000 105.216000 307.496000 1.327500 9.231778 9.196111 2.996477 0.000141 0.739661
48129 10 22.561000 106.048000 308.969000 1.327500 9.262111 9.230667 3.016412 0.000140 0.735115
49153 10 22.633000 105.957000 310.380000 1.327500 9.338889 9.261778 3.040573 0.000138 0.732574
50177 10 22.873000 106.971000 312.885000 1.327500 9.350556 9.323000 3.064497 0.000137 0.730235
51201 10 22.932000 107.170000 313.817000 1.327500 9.388556 9.338667 3.090760 0.000135 0.729303
52225 10 23.144000 108.162000 316.864000 1.327500 9.491556 9.438778 3.116465 0.000134 0.728375
53249 10 22.962000 108.192000 314.900000 1.327500 9.475556 9.391889 3.143867 0.000132 0.728607
54273 10 23.584000 108.672000 321.131000 1.327500 9.476778 9.440889 3.174108 0.000130 0.730730
55297 10 23.544000 109.344000 321.211000 1.327500 9.530111 9.488889 3.203563 0.000129 0.732621
56321 10 23.643000 110.036000 322.945000 1.327500 9.612778 9.536667 3.232707 0.000127 0.734559
57345 10 23.914000 110.296000 325.949000 1.327500 9.645444 9.576667 3.263751 0.000126 0.737909
58369 10 24.134000 111.067000 329.006000 1.327500 9.740667 9.663444 3.294406 0.000124 0.741214
59393 10 24.586000 111.709000 333.544000 1.327500 9.742667 9.717000 3.325951 0.000122 0.745305
60417 10 24.415000 112.590000 332.352000 1.327500 9.800222 9.711556 3.355213 0.000121 0.748092
61441 10 24.647000 113.082000 335.197000 1.327500 9.858556 9.810444 3.385107 0.000119 0.751477
62465 10 25.096000 114.184000 339.906000 1.327500 9.882889 9.847222 3.414188 0.000118 0.754518
63489 10 24.846000 114.274000 338.093000 1.327500 9.959222 9.926222 3.443539 0.000117 0.757913
64513 10 25.047000 114.995000 341.039000 1.327500 10.063222 9.970889 3.472497 0.000115 0.761223
65537 10 25.638000 120.275000 351.658000 1.327500 10.586444 10.534000 3.487452 0.000115 0.757713
66561 10 25.828000 121.638000 354.082000 1.327500 10.644667 10.594222 3.500926 0.000114 0.753885
67585 10 26.079000 121.067000 356.227000 1.327500 10.604111 10.521778 3.519356 0.000113 0.752092
68609 10 25.969000 121.546000 355.414000 1.327500 10.636000 10.555222 3.537883 0.000112 0.750510
69633 10 26.289000 121.658000 358.962000 1.327500 10.674667 10.594111 3.558933 0.000111 0.750308
70657 10 26.608000 124.673000 364.322000 1.327500 10.915778 10.864667 3.573440 0.000111 0.747385
71681 10 26.560000 123.201000 362.728000 1.327500 10.792000 10.673222 3.594283 0.000110 0.747430
72705 10 26.529000 125.013000 363.961000 1.327500 10.963444 10.888000 3.611255 0.000109 0.745758
73729 10 26.769000 124.684000 365.904000 1.327500 10.912667 10.849222 3.631693 0.000108 0.745908
