#size	rtt
16	4.994500
16	5.475500
16	4.799000
16	8.320000
16	5.039500
16	2.294500
16	2.299000
16	2.044000
16	1.999000
16	2.810500
16	3.005500
16	2.669500
16	2.089500
16	1.883500
16	6.902500
16	1.713500
16	1.944500
16	2.269000
16	1.848000
16	2.009500
16	1.858000
16	1.998500
16	2.164000
16	1.828500
16	1.899000
16	2.285500
16	2.349500
16	2.480000
16	15.469500
16	2.109000
16	2.099500
16	2.068500
16	2.048500
16	1.913000
16	1.864000
16	2.479500
16	1.993500
16	1.884000
16	1.768000
16	2.179500
16	2.585000
16	1.702500
16	1.923500
16	5.395000
16	2.485500
16	2.650500
16	1.849000
16	2.113500
16	2.114000
16	1.768500
16	1.838500
16	2.138000
16	1.989000
16	1.963500
16	1.899000
16	1.888500
16	1.984000
16	14.466500
16	2.059500
16	2.650500
16	2.350500
16	2.365000
16	1.869500
16	2.290000
16	1.903000
16	1.909000
16	2.209000
16	2.519500
16	1.974000
16	1.868500
16	2.249500
16	2.304500
16	3.707000
16	2.204000
16	2.535500
16	1.969500
16	2.219500
16	2.716000
16	2.770500
16	2.018000
16	2.039000
16	1.913500
16	1.929000
16	2.180000
16	1.814000
16	1.883500
16	15.770000
16	2.013500
16	2.074500
16	3.340500
16	1.704000
16	1.984500
16	1.989500
16	2.615000
16	1.954500
16	1.833500
16	1.804500
16	1.793500
16	2.445000
16	1.768500
16	2.380500
16	1.838500
16	2.114500
16	2.038500
16	1.944500
16	1.842500
16	1.758000
16	2.434500
16	2.375000
16	2.099000
16	1.783000
16	1.789000
16	2.279500
16	1.667500
16	2.405000
16	11.748000
16	2.205000
16	2.223500
16	2.014000
16	1.994500
16	1.677500
16	2.073500
16	1.788500
16	3.356500
16	5.336000
16	13.174500
16	1.829500
16	1.669000
16	1.894000
16	24.150500
16	1.793000
16	2.158500
16	1.823000
16	1.993000
16	1.874000
16	1.898000
16	1.928000
16	2.124500
16	2.028500
16	1.763000
16	1.708000
16	1.924000
16	1.783500
16	1.893500
16	2.178500
16	1.918500
16	1.793500
16	2.374500
16	2.143000
16	1.817500
16	1.687500
16	1.819000
16	1.803000
16	2.003500
16	1.933000
16	3.026500
16	1.853500
16	1.913500
16	1.793500
16	1.904000
16	2.294500
16	1.953000
16	1.834000
16	1.828500
16	2.133000
16	1.988500
16	1.853000
16	1.939000
16	1.984000
16	1.883500
16	1.929000
16	2.064000
16	1.833000
16	1.919000
16	1.893500
16	2.128500
16	1.608000
16	2.068500
16	2.294500
16	2.214000
16	2.700500
16	1.833500
16	1.803000
16	1.848500
16	1.893500
16	1.889000
16	1.884000
16	1.864000
16	1.858500
16	2.019500
16	1.933500
16	2.004000
16	2.093500
16	1.703000
16	2.394500
16	2.174000
16	1.999000
16	1.789000
16	1.803500
16	2.184500
16	1.772500
16	2.169000
16	2.104000
16	1.928500
16	1.919500
16	2.079000
16	1.844000
16	2.029000
16	1.678000
16	2.424000
16	1.838000
16	1.939000
16	2.053500
16	1.852500
16	1.748000
16	2.274500
16	2.033500
16	1.723500
16	1.843000
16	2.008500
16	1.889000
16	1.993500
16	2.390000
16	1.854000
16	2.289000
16	2.248500
16	2.189000
16	2.128500
16	1.804000
16	1.867500
16	2.059000
16	1.862500
16	2.164000
16	1.984000
16	2.794500
16	1.933500
16	1.743500
16	1.939000
16	2.529000
16	1.878500
16	2.034500
16	1.863500
16	1.758000
16	1.673000
16	1.798000
16	2.439000
16	2.004000
16	1.908500
16	1.848000
16	1.848500
16	1.749000
16	1.908500
16	2.129500
16	1.913500
16	1.954500
16	1.838000
16	2.239000
16	1.784000
16	2.194500
16	2.154500
16	2.105000
16	1.859000
16	1.668000
16	1.963500
16	2.089000
16	1.663000
16	2.855500
16	2.048500
16	2.074500
16	2.069500
16	1.829000
16	1.984500
16	2.305000
16	1.993500
16	1.778500
16	2.339500
16	1.782500
16	292.718500
16	2.163500
16	1.908500
16	2.003500
16	1.968500
16	1.899000
16	2.094000
16	2.550500
16	1.934000
16	2.034000
16	1.818500
16	1.688500
16	1.863500
16	1.999500
16	2.149000
16	1.859000
16	1.908500
16	2.034000
16	2.053500
16	2.018500
16	1.878500
16	1.768000
16	2.279500
16	1.949000
16	2.098500
16	1.968000
16	1.738000
16	1.833500
16	1.658000
16	1.948000
16	1.698000
16	1.678500
16	1.928500
16	2.094000
16	1.998500
16	4.754000
16	2.905500
16	1.889000
16	1.828500
16	1.963500
16	2.274500
16	2.134500
16	1.698000
16	1.813500
16	1.983500
16	1.899000
16	1.803500
16	1.949000
16	4.800000
16	1.889000
16	2.083500
16	1.882500
16	1.638000
16	2.404500
16	1.974000
16	1.813000
16	1.933500
16	1.692500
16	1.753000
16	1.703500
16	1.898500
16	1.724000
16	1.973500
16	2.084500
16	3.086500
16	1.898000
16	1.822500
16	1.753000
16	1.757500
16	2.049500
16	2.304500
16	2.128500
16	1.703000
16	2.204500
16	1.778000
16	1.923500
16	1.889000
16	1.603000
16	2.184000
16	2.078500
16	1.838000
16	2.019000
16	1.893500
16	2.310000
16	2.234500
16	2.065000
16	2.499000
16	1.884500
16	1.908500
16	1.688000
16	1.934000
16	1.773500
16	1.933000
16	1.728000
16	2.409500
16	2.008000
16	1.934000
16	1.747500
16	2.053500
16	2.459000
16	2.009000
16	2.104500
16	2.178500
16	2.355000
16	1.774000
16	1.733500
16	1.868500
16	1.783000
16	1.823000
16	1.989000
16	2.384500
16	1.774000
16	1.974000
16	1.758000
16	1.657500
16	2.089000
16	1.903000
16	1.919000
16	1.928000
16	1.769000
16	1.807500
16	1.698000
16	2.054000
16	1.644000
16	1.723500
16	2.118000
16	2.345000
16	1.788500
16	2.188500
16	1.693500
16	1.723500
16	1.778000
16	1.918500
16	1.772500
16	2.103500
16	1.843500
16	1.728000
16	3.912000
16	2.099000
16	4.828500
16	2.173500
16	2.178500
16	2.249500
16	2.023500
16	1.688000
16	2.053500
16	2.108500
16	1.773000
16	1.963000
16	4.418000
16	1.909000
16	1.868500
16	2.158500
16	1.708500
16	1.748000
16	1.908500
16	2.305000
16	2.009000
16	1.884000
16	1.693000
16	1.628500
16	1.783000
16	1.723000
16	1.933500
16	1.763500
16	1.638500
16	4.227000
16	1.788000
16	1.979000
16	1.723000
16	1.702500
16	2.174500
16	2.164000
16	1.823500
16	1.958500
16	1.658500
16	1.699000
16	1.864000
16	1.598000
16	1.979000
16	1.829000
16	1.643000
16	1.803500
16	1.663500
16	1.868500
16	1.983500
16	1.769000
16	2.910500
16	2.349500
16	2.409000
16	1.933500
16	1.668500
16	1.898500
16	1.919000
16	1.898500
16	2.028000
16	2.039000
16	1.787500
16	1.843000
16	2.139000
16	2.259500
16	1.893500
16	2.495000
16	2.264000
16	1.843000
16	1.728000
16	1.738000
16	1.819000
16	1.923500
16	1.808500
16	2.064000
16	1.573500
16	1.617500
16	1.888500
16	1.667500
16	2.149000
16	1.754000
16	1.933500
16	1.818000
16	2.139000
16	2.218500
16	1.668500
16	5.831500
16	1.733000
16	1.974500
16	1.684000
16	1.797500
16	1.818500
16	1.728000
16	1.899000
16	2.044500
16	2.093000
16	1.768000
16	2.179000
16	2.104000
16	1.738500
16	1.958500
16	2.641000
16	2.059000
16	1.904000
16	1.698500
16	1.873500
16	1.637500
16	1.593500
16	1.593500
16	2.164500
16	2.275500
16	1.768500
16	1.648500
16	2.114000
16	2.024000
16	4.783000
16	1.978500
16	1.593000
16	2.529500
16	1.998500
16	1.803500
16	1.994500
16	1.823000
16	1.613000
16	1.708000
16	1.904000
16	1.864000
16	1.663500
16	2.059500
16	2.163500
16	2.474500
16	1.723000
16	3.481500
16	1.943500
16	2.028000
16	1.663000
16	2.044000
16	1.703000
16	1.593000
16	1.693000
16	1.778000
16	1.913000
16	1.703000
16	1.899500
16	2.118500
16	2.479500
16	1.813500
16	1.673500
16	1.767500
16	1.864000
16	2.424000
16	1.969500
16	2.073500
16	2.154000
16	1.813000
16	2.364500
16	1.838500
16	1.888500
16	1.683000
16	2.318500
16	2.134000
16	2.134000
16	1.618000
16	1.768500
16	1.653500
16	1.823500
16	2.144000
16	1.949000
16	1.763500
16	1.648000
16	1.959000
16	1.748500
16	1.848500
16	1.779000
16	1.728500
16	2.070000
16	2.169000
16	1.993000
16	1.824000
16	1.693000
16	1.778000
16	2.234000
16	2.189000
16	1.663500
16	1.653000
16	1.692500
16	1.647500
16	1.823500
16	4.949500
16	3.031000
16	2.555000
16	1.964500
16	1.803000
16	1.643500
16	1.658000
16	1.633500
16	2.034000
16	2.189500
16	1.958500
16	1.702500
16	1.622500
16	1.673500
16	1.773500
16	1.919000
16	1.622500
16	1.768500
16	2.544500
16	1.964500
