# Hoverboard test (1048576 1 1000000000)
# time(ns),sleep_time(ns),repetitions
99803247,1000000000,1
315598,1000000000,1
188831,1000000000,1
227313,1000000000,1
191096,1000000000,1
191017,1000000000,1
229518,1000000000,1
194834,1000000000,1
192358,1000000000,1
237995,1000000000,1
190375,1000000000,1
191037,1000000000,1
189274,1000000000,1
224668,1000000000,1
189313,1000000000,1
189603,1000000000,1
191297,1000000000,1
189324,1000000000,1
189894,1000000000,1
226753,1000000000,1
191518,1000000000,1
191228,1000000000,1
189984,1000000000,1
190254,1000000000,1
190476,1000000000,1
190546,1000000000,1
190385,1000000000,1
228987,1000000000,1
191717,1000000000,1
190595,1000000000,1
# Hoverboard test (1048576 1 800000000)
# time(ns),sleep_time(ns),repetitions
99729980,800000000,1
315519,800000000,1
187229,800000000,1
189103,800000000,1
190426,800000000,1
229388,800000000,1
187080,800000000,1
194543,800000000,1
188873,800000000,1
188140,800000000,1
187320,800000000,1
230370,800000000,1
189112,800000000,1
189504,800000000,1
187921,800000000,1
189773,800000000,1
188912,800000000,1
222806,800000000,1
188001,800000000,1
191257,800000000,1
188040,800000000,1
190526,800000000,1
187850,800000000,1
189233,800000000,1
188232,800000000,1
188832,800000000,1
186798,800000000,1
225360,800000000,1
188923,800000000,1
188482,800000000,1
# Hoverboard test (1048576 1 600000000)
# time(ns),sleep_time(ns),repetitions
28602419,600000000,1
197638,600000000,1
227285,600000000,1
190224,600000000,1
189283,600000000,1
187801,600000000,1
226984,600000000,1
193552,600000000,1
189444,600000000,1
189604,600000000,1
190365,600000000,1
225370,600000000,1
190627,600000000,1
189004,600000000,1
188693,600000000,1
188571,600000000,1
190005,600000000,1
189724,600000000,1
225692,600000000,1
188582,600000000,1
190246,600000000,1
188633,600000000,1
189264,600000000,1
189695,600000000,1
190545,600000000,1
188752,600000000,1
187851,600000000,1
228466,600000000,1
189864,600000000,1
189624,600000000,1
# Hoverboard test (1048576 1 400000000)
# time(ns),sleep_time(ns),repetitions
24842765,400000000,1
200774,400000000,1
225872,400000000,1
191687,400000000,1
189374,400000000,1
188230,400000000,1
188371,400000000,1
227045,400000000,1
188391,400000000,1
189323,400000000,1
188220,400000000,1
188111,400000000,1
189604,400000000,1
188252,400000000,1
187720,400000000,1
203830,400000000,1
208549,400000000,1
188181,400000000,1
188993,400000000,1
188872,400000000,1
188482,400000000,1
188542,400000000,1
187660,400000000,1
187901,400000000,1
189894,400000000,1
222795,400000000,1
187308,400000000,1
189344,400000000,1
188623,400000000,1
187980,400000000,1
# Hoverboard test (1048576 1 200000000)
# time(ns),sleep_time(ns),repetitions
100699370,200000000,1
198210,200000000,1
187449,200000000,1
225891,200000000,1
189313,200000000,1
187751,200000000,1
187399,200000000,1
191919,200000000,1
188261,200000000,1
188411,200000000,1
187029,200000000,1
188462,200000000,1
188642,200000000,1
188201,200000000,1
225962,200000000,1
187760,200000000,1
188683,200000000,1
187790,200000000,1
186828,200000000,1
187790,200000000,1
189084,200000000,1
188190,200000000,1
187990,200000000,1
188051,200000000,1
188050,200000000,1
188291,200000000,1
187259,200000000,1
222665,200000000,1
189773,200000000,1
187239,200000000,1
# Hoverboard test (1048576 1 0)
# time(ns),sleep_time(ns),repetitions
33447250,0,1
195734,0,1
186429,0,1
186429,0,1
186719,0,1
186898,0,1
186136,0,1
188462,0,1
186188,0,1
186188,0,1
186468,0,1
186157,0,1
186108,0,1
186066,0,1
186528,0,1
186178,0,1
186327,0,1
186088,0,1
186388,0,1
186187,0,1
186258,0,1
186838,0,1
186026,0,1
186106,0,1
186478,0,1
186178,0,1
186578,0,1
186699,0,1
186088,0,1
189234,0,1
# Hoverboard test (1048576 1 200000001)
# time(ns),sleep_time(ns),repetitions
27135489,200000001,1
198131,200000001,1
188622,200000001,1
225872,200000001,1
188141,200000001,1
188322,200000001,1
187680,200000001,1
193681,200000001,1
189063,200000001,1
189333,200000001,1
188242,200000001,1
188191,200000001,1
188933,200000001,1
188973,200000001,1
224428,200000001,1
188521,200000001,1
188683,200000001,1
187980,200000001,1
187790,200000001,1
187861,200000001,1
189524,200000001,1
188641,200000001,1
187529,200000001,1
188602,200000001,1
189162,200000001,1
188182,200000001,1
188182,200000001,1
232715,200000001,1
188281,200000001,1
188682,200000001,1
# Hoverboard test (1048576 1 400000001)
# time(ns),sleep_time(ns),repetitions
100308039,400000001,1
196657,400000001,1
188411,400000001,1
225289,400000001,1
188311,400000001,1
188542,400000001,1
187990,400000001,1
193450,400000001,1
189152,400000001,1
222745,400000001,1
187120,400000001,1
188040,400000001,1
188992,400000001,1
189022,400000001,1
189183,400000001,1
188002,400000001,1
189113,400000001,1
222345,400000001,1
188381,400000001,1
188000,400000001,1
188701,400000001,1
187701,400000001,1
187239,400000001,1
188091,400000001,1
189604,400000001,1
190064,400000001,1
188422,400000001,1
222996,400000001,1
188272,400000001,1
189384,400000001,1
# Hoverboard test (1048576 1 600000001)
# time(ns),sleep_time(ns),repetitions
103735633,600000001,1
202168,600000001,1
237945,600000001,1
189143,600000001,1
191246,600000001,1
188422,600000001,1
226222,600000001,1
192740,600000001,1
189694,600000001,1
189143,600000001,1
189414,600000001,1
228415,600000001,1
189824,600000001,1
190014,600000001,1
190025,600000001,1
189473,600000001,1
190234,600000001,1
188481,600000001,1
233987,600000001,1
188212,600000001,1
189765,600000001,1
189844,600000001,1
188721,600000001,1
188852,600000001,1
188963,600000001,1
189684,600000001,1
224468,600000001,1
188431,600000001,1
190074,600000001,1
189463,600000001,1
# Hoverboard test (1048576 1 800000001)
# time(ns),sleep_time(ns),repetitions
24356215,800000001,1
318916,800000001,1
189795,800000001,1
187940,800000001,1
189133,800000001,1
223898,800000001,1
188302,800000001,1
194082,800000001,1
190927,800000001,1
188082,800000001,1
224239,800000001,1
187960,800000001,1
189613,800000001,1
187571,800000001,1
188050,800000001,1
188071,800000001,1
191699,800000001,1
223528,800000001,1
189162,800000001,1
187941,800000001,1
189775,800000001,1
188702,800000001,1
190145,800000001,1
187640,800000001,1
189865,800000001,1
188232,800000001,1
226662,800000001,1
188843,800000001,1
192409,800000001,1
188612,800000001,1
# Hoverboard test (1048576 1 1000000001)
# time(ns),sleep_time(ns),repetitions
100146448,1000000001,1
312703,1000000001,1
190074,1000000001,1
228648,1000000001,1
190265,1000000001,1
191538,1000000001,1
227023,1000000001,1
196325,1000000001,1
192259,1000000001,1
229699,1000000001,1
188763,1000000001,1
190955,1000000001,1
189394,1000000001,1
227825,1000000001,1
190156,1000000001,1
190075,1000000001,1
190125,1000000001,1
189383,1000000001,1
188142,1000000001,1
229188,1000000001,1
192600,1000000001,1
190986,1000000001,1
189193,1000000001,1
190786,1000000001,1
190325,1000000001,1
190866,1000000001,1
190635,1000000001,1
226733,1000000001,1
190716,1000000001,1
190526,1000000001,1
