#size	rtt
2	782.136000
2	781.975500
2	778.979500
2	781.565000
2	781.850500
2	781.815500
2	781.850500
2	781.825500
2	781.886000
2	781.856000
2	781.840000
2	781.860500
2	781.865500
2	781.706000
2	781.870500
2	781.835500
2	781.911000
2	769.667500
2	781.890500
2	781.855500
2	781.880000
2	781.840000
2	781.800500
2	781.820000
2	781.885500
2	781.835000
2	781.800500
2	781.820500
2	781.795500
2	781.825000
2	781.885000
2	781.840000
2	782.015000
2	781.985500
2	781.951000
2	782.030500
2	782.106000
2	782.086000
2	782.086000
2	782.045500
2	782.116500
2	782.116000
2	782.096000
2	782.020500
2	781.965500
2	782.006000
2	781.304500
2	781.895500
2	781.815500
2	781.811000
2	781.785000
2	781.845500
2	781.886000
2	781.835500
2	781.810500
2	781.840500
2	781.840500
2	781.830000
2	781.841000
2	781.825500
2	781.880500
2	775.228500
2	782.291500
2	782.080500
2	782.076000
2	782.090500
2	782.056000
2	782.031000
2	782.140500
2	782.056000
2	782.036000
2	782.041000
2	782.126000
2	782.060500
2	782.070500
2	781.996000
2	782.110500
2	782.055500
2	782.041000
2	782.085500
2	782.035500
2	782.036000
2	782.061500
2	782.035500
2	782.126000
2	782.041000
2	782.046000
2	782.046000
2	782.056000
2	782.090500
2	782.096000
2	782.056000
2	782.085500
2	782.055500
2	782.106000
2	781.990500
2	782.056000
2	782.056000
2	782.030500
2	782.050500
2	782.100500
2	782.101500
2	782.131000
2	782.026000
2	782.060500
2	782.080500
2	782.045500
2	782.056000
2	782.091500
2	782.045500
2	782.081500
2	782.080500
2	782.111500
2	782.036000
2	782.035500
2	782.051500
2	782.110500
2	782.026000
2	782.090000
2	782.051500
2	782.292000
2	782.060500
2	781.895500
2	782.026000
2	782.090000
2	782.091000
2	783.273500
2	782.090500
2	782.121000
2	782.171000
2	782.120500
2	782.106000
2	782.066000
2	782.020000
2	783.729500
2	782.161000
2	782.066000
2	782.020500
2	782.051500
2	782.051000
2	782.116500
2	782.106000
2	782.081000
2	782.066000
2	782.071000
2	782.086000
2	781.990000
2	782.051500
2	782.106000
2	782.116000
2	782.036000
2	782.000500
2	782.070500
2	781.920000
2	782.015500
2	781.986000
2	782.096000
2	782.070500
2	782.090000
2	782.066500
2	782.070500
2	781.990500
2	782.061000
2	782.026500
2	782.141000
2	781.995500
2	782.026500
2	782.011500
2	782.055500
2	781.960000
2	782.061000
2	782.005500
2	782.176000
2	781.981000
2	782.021000
2	782.116000
2	782.045500
2	782.076000
2	782.010500
2	782.091500
2	781.885500
2	781.835000
2	781.844500
2	781.830500
2	781.805000
2	781.845500
2	781.830000
2	781.835500
2	782.051000
2	781.840000
2	781.895000
2	781.825500
2	781.816000
2	779.701000
2	782.040500
2	782.065500
2	782.076000
2	782.035500
2	782.081000
2	781.991000
2	782.006500
2	782.045500
2	782.111000
2	781.820000
2	781.820000
2	781.986000
2	782.001000
2	782.061000
2	782.085500
2	782.040500
2	782.016000
2	782.015500
2	782.101000
2	782.005000
2	782.050500
2	782.076000
2	782.051000
2	782.006000
2	782.026500
2	782.075500
2	782.046500
2	782.005000
2	782.031000
2	782.106500
2	782.026500
2	781.971000
2	782.036000
2	782.071000
2	782.126500
2	782.056000
2	782.010500
2	782.211500
2	782.135500
2	782.105500
2	782.050500
2	782.076000
2	782.106500
2	782.797500
2	781.970500
2	782.065500
2	781.986000
2	782.040000
2	782.055500
2	782.025500
2	782.046000
2	782.030000
2	782.100500
2	782.006000
2	782.100500
2	782.000000
2	782.081500
2	782.060000
2	782.206500
2	781.996000
2	782.001000
2	782.055500
2	782.040500
2	782.011500
2	782.010000
2	782.046000
2	782.121500
2	782.081000
2	781.965000
2	782.010500
2	782.040500
2	782.036000
2	782.065500
2	782.065500
2	782.065500
2	781.995500
2	782.040000
2	782.096000
2	782.021000
2	782.035500
2	781.996000
2	782.016000
2	782.136000
2	781.986500
2	781.930000
2	782.035500
2	782.081000
2	782.071000
2	782.071000
2	781.990500
2	782.031500
2	781.976500
2	782.081000
2	781.986500
2	782.041500
2	782.076500
2	782.045500
2	782.025500
2	782.220500
2	782.025500
2	781.996500
2	781.955500
2	782.111000
2	782.096000
2	782.081500
2	782.031500
