#size	rtt
1	3.621500
1	3.656500
1	3.646500
1	3.621500
1	3.697000
1	3.617000
1	3.666500
1	3.691500
1	3.622000
1	3.607000
1	3.636500
1	3.752000
1	3.631000
1	3.711500
1	3.777500
1	3.551500
1	3.676500
1	3.631000
1	3.601500
1	3.672000
1	3.626000
1	3.607000
1	3.666000
1	3.576500
1	3.752000
1	3.621000
1	3.647000
1	3.641000
1	3.597000
1	3.697000
1	3.592000
1	3.617000
1	3.621500
1	3.592000
1	3.597000
1	3.596500
1	3.672000
1	3.561000
1	3.602000
1	3.561500
1	3.666000
1	3.601500
1	3.546500
1	3.646500
1	3.571500
1	3.561000
1	3.617000
1	3.637000
1	3.691500
1	3.546000
1	3.631000
1	3.561000
1	3.586500
1	3.632000
1	3.606000
1	3.566000
1	3.561500
1	3.616500
1	3.596500
1	3.641500
1	3.551500
1	3.576000
1	3.591000
1	3.581500
1	3.551500
1	3.601500
1	3.611500
1	3.616000
1	3.637000
1	3.612000
1	3.601500
1	3.626500
1	3.557000
1	3.642000
1	3.551500
1	3.656500
1	3.562000
1	3.571500
1	3.686500
1	3.551500
1	3.556500
1	3.581500
1	3.676500
1	3.641500
1	3.701500
1	3.632000
1	3.601000
1	3.666500
1	3.606500
1	3.616000
1	3.571500
1	3.561000
1	3.586500
1	3.666000
1	3.587000
1	3.557000
1	3.651500
1	3.622000
1	3.672000
1	3.566500
1	3.586500
1	3.671500
1	3.717000
1	3.681500
1	3.551500
1	3.551500
1	3.561500
1	3.571500
1	3.641500
1	3.596500
1	3.772000
1	3.752000
1	3.617000
1	3.616000
1	3.612000
1	3.546000
1	3.611000
1	3.606500
1	3.551500
1	3.567000
1	3.651500
1	3.551500
1	3.571500
1	3.636500
1	3.556500
1	3.596500
1	3.606000
1	3.551000
1	3.696500
1	3.607000
1	3.616500
1	3.566500
1	3.581500
1	3.621500
1	3.586000
1	3.721500
1	3.591500
1	3.641500
1	3.576500
1	3.561000
1	3.556500
1	3.561000
1	3.646000
1	3.666500
1	3.591000
1	3.576500
1	3.592000
1	3.601000
1	3.621500
1	3.591000
1	3.661500
1	3.592000
1	3.596500
1	3.546000
1	3.541000
1	3.651500
1	3.566000
1	3.677000
1	3.561500
1	3.606500
1	3.581500
1	3.651500
1	3.571500
1	3.651500
1	4.909500
1	3.571500
1	3.661500
1	3.672000
1	3.631500
1	3.691500
1	3.571500
1	3.586000
1	3.681500
1	3.576500
1	3.557000
1	3.566500
1	3.551000
1	3.556500
1	3.576000
1	3.572000
1	3.566000
1	3.656500
1	3.626500
1	3.641500
1	3.571500
1	3.616000
1	3.576500
1	3.632000
1	3.556500
1	3.546000
1	3.617000
1	3.557000
1	3.607000
1	3.596500
1	3.606500
1	3.572000
1	3.571500
1	3.626000
1	3.591500
1	3.716500
1	3.627000
1	3.737000
1	3.586500
1	3.596500
1	3.561000
1	3.541500
1	3.576000
1	3.666000
1	3.601500
1	3.597000
1	3.601500
1	3.656000
1	3.677000
1	3.571500
1	3.697000
1	3.681000
1	3.666500
1	3.541500
1	3.641000
1	3.591500
1	3.642000
1	3.616500
1	3.611500
1	3.631500
1	3.682000
1	3.641500
1	3.636500
1	4.513000
1	3.571500
1	3.551000
1	3.581000
1	3.576500
1	3.566000
1	3.581000
1	3.657000
1	5.375000
1	3.786500
1	3.526000
1	3.686500
1	3.621500
1	3.682000
1	3.691500
1	3.566500
1	3.546000
1	3.641500
1	3.676500
1	3.607000
1	3.561500
1	3.571500
1	3.561000
1	3.601500
1	3.671500
1	3.596500
1	3.606000
1	3.551000
1	3.572000
1	3.662000
1	3.591000
1	3.677000
1	3.651500
1	3.556500
1	3.672000
1	3.576000
1	3.566500
1	3.541500
1	3.561000
1	3.621500
1	3.561000
1	3.561000
1	3.591500
1	3.636500
1	3.566000
1	3.551500
1	3.566500
1	3.666500
1	3.581500
1	3.581000
1	3.582000
1	3.566500
1	3.582000
1	3.622000
1	3.616500
1	3.632000
1	3.626500
1	3.571500
1	3.636500
1	3.591500
1	3.572000
1	3.546000
1	3.676500
1	3.551500
1	3.567000
1	3.536000
1	3.546000
1	3.561500
1	3.666500
1	3.837000
1	3.661500
1	3.566500
1	3.561500
1	3.596500
1	3.571500
1	3.546000
1	3.626500
1	3.576500
1	3.567000
1	3.641500
1	3.687000
1	3.542000
1	3.557000
1	3.677000
1	3.637000
1	3.622000
1	3.561000
1	3.551000
1	3.566500
1	3.576500
1	3.596500
1	3.631000
1	3.656500
1	3.662000
1	3.622000
1	3.586000
1	3.621000
1	3.631500
1	3.581500
1	3.581000
1	3.561000
1	3.551000
1	3.572000
1	3.567000
1	3.572000
1	3.641500
1	3.616000
1	3.551500
1	3.626500
1	3.616500
1	3.572000
1	3.666000
1	3.867500
1	3.706000
1	3.577000
1	3.571500
1	3.641000
1	3.561000
1	3.612000
1	3.636500
1	3.586000
1	3.576500
1	3.521500
1	3.551500
1	3.631000
1	3.711500
1	3.656500
1	3.616500
1	3.601000
1	3.631500
1	3.567000
1	3.586500
1	3.596000
1	3.631500
1	3.586000
1	3.641500
1	3.612000
1	3.556500
1	3.642000
1	3.627000
1	3.581500
1	3.601500
1	4.097000
1	3.657000
1	3.601500
1	3.676500
1	3.626000
1	3.662000
1	3.637000
1	3.676000
1	3.607000
1	3.556500
1	3.662000
1	3.587000
1	3.556500
1	3.556000
1	3.581500
1	3.652000
1	3.616500
1	3.566000
1	3.571000
1	3.637000
1	3.596500
1	3.601500
1	3.601000
1	3.666000
1	3.676500
1	3.691000
1	3.671500
1	3.632000
1	3.596000
1	3.626500
1	3.611500
1	3.551500
1	3.646500
1	3.627000
1	3.641000
1	3.601000
1	3.556500
1	3.631500
1	3.691500
1	3.611500
1	3.742000
1	3.712000
1	3.611500
1	3.557000
1	3.561500
1	3.602000
1	3.541500
1	3.556000
1	3.666000
1	3.586500
1	3.591500
1	3.662000
1	3.551500
1	3.661500
1	3.581500
1	3.607000
1	3.546500
1	3.571000
1	3.646500
1	3.697000
1	3.566000
1	3.631500
1	3.556500
1	3.606500
1	3.551500
1	3.561000
1	3.641500
1	3.576500
1	3.546500
1	3.541000
1	3.576500
1	3.717000
1	3.691500
1	3.581000
1	3.597000
1	3.556500
1	3.586000
1	3.551500
1	3.597000
1	4.513000
1	3.701500
1	3.557000
1	3.591000
1	3.626000
1	3.671000
1	3.612000
