# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: tcn312.local.snellius.surf.nl
# Release : 4.18.0-372.80.1.el8_6.x86_64
# Version : #1 SMP Fri Nov 3 14:30:16 EDT 2023
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 38.997916 
# Number of iterations (recorded+unrecorded): 1017428232 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
0.00	6352.66
999985.57	8334.55
1999879.15	3778.80
2999904.72	2915.84
3999890.29	3366.82
4999704.88	3356.82
5999749.45	3888.79
6999605.03	3926.79
7999629.60	3296.82
8999584.17	5521.70
9999509.75	10459.44
10999544.32	4098.78
11999428.89	2656.86
12999314.47	2805.85
13999319.04	2494.87
14611179.35	63616.60
14999242.62	2266.88
15999208.19	1953.90
16999063.77	2403.87
17999088.34	3277.82
18998983.92	1783.90
19998977.49	1494.92
20998893.07	1482.92
21998898.64	1503.92
22998763.22	1513.92
23998797.79	1523.92
24998713.37	6252.67
25998727.94	4037.78
26998532.52	2044.89
27998468.10	2695.86
28998442.67	3196.83
29998377.25	2575.86
30998322.82	3376.82
31998317.39	2876.85
32998271.97	3046.84
33998277.54	3126.83
34998162.12	1533.92
35998056.70	2145.89
36998092.27	3627.81
37998056.84	3727.80
38997932.42	1583.92
39997876.99	4047.78
40997891.56	2786.85
41997766.14	1523.92
42997691.72	2194.88
43997586.30	1693.91
44997600.87	1563.92
45997526.44	1533.92
46997601.01	1483.92
47997426.59	1563.92
48997381.17	1483.92
49997365.74	1523.92
50997291.32	1513.92
51997325.89	3126.83
52997170.47	3857.79
53997226.04	2214.88
54997000.62	2615.86
55997025.19	2405.87
56996970.77	4548.76
57996875.34	3306.82
58996969.91	1864.90
59996865.49	1683.91
60996740.07	2775.85
61996815.63	1502.92
62996650.21	1843.90
63996684.79	2565.86
64996499.37	1523.92
65996524.94	1523.92
66996419.52	1823.90
67996454.09	3257.83
68996329.66	1472.92
69996304.24	3066.84
70996298.81	2996.84
71996214.39	2595.86
72996098.96	3507.81
73996053.54	2615.86
74996059.11	3386.82
75995923.69	2976.84
76995968.26	3337.82
77995903.83	1633.91
78995718.42	2284.88
79995742.99	1503.92
80995788.56	3396.82
81995573.14	1813.90
82995577.71	1483.92
83995583.28	1783.90
84361476.74	1944.90
84995487.86	128655.13
85995382.44	1754.91
86995318.01	1573.92
87995262.59	2946.84
88995267.16	3447.82
89995192.74	1452.92
90995147.31	1793.90
91995131.88	1754.91
92995047.46	1473.92
93995092.03	1754.91
94995017.61	1763.91
95995002.18	1453.92
96994806.76	1463.92
97994842.33	2224.88
98994816.90	2865.85
99994771.48	2635.86
